restaurant_id,komsco_name,komsco_address,previous_naver_status,naver_matched_external_name,naver_matched_address,naver_matched_road_address,query,place_id,place_url,resolve_status,detail_status,matcher_source,qwen_used,qwen_confidence,naver_db_fallback_available,qwen_ranking,resolved_rank,detail_validation_attempts,validation_attempts_json,detail_access_method,http_result,playwright_result,menu_count,parsed_menu_count,menu_complete,menu_fallback_used,home_status,hours_status,menu_status,review_status,review_requested,review_count,review_keyword_count,review_menu_mention_count,review_theme_count,representative_review_count,detail_warnings,result,reason,elapsed_ms
5946,신석기부대찌개,서울특별시 강남구 개포로15길 14 (개포동) 1층,MATCHED,신석기부대찌개,서울특별시 강남구 개포동 1244,서울특별시 강남구 개포로15길 14,개포동 신석기부대찌개,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,True,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,CANDIDATE_PLACE_ID_MISSING,2942
5975,숙아채콩나물국밥,서울특별시 강남구 개포로20길 17 (개포동) 1층,MATCHED,숙아채콩나물국밥,서울특별시 강남구 개포동 1231-17,서울특별시 강남구 개포로20길 17,매봉역 숙아채콩나물국밥,13101198,https://pcmap.place.naver.com/restaurant/13101198/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""숙아채콩나물국밥국밥"", ""candidate_address"": """", ""place_id"": ""13101198"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/13101198/home"", ""detail_name"": ""숙아채콩나물국밥국밥"", ""detail_road_address"": ""서울 강남구 개포로20길 17"", ""detail_jibun_address"": ""서울 강남구 개포동 1231-17"", ""normalized_source_name"": ""숙아채콩나물국밥"", ""normalized_detail_name"": ""숙아채콩나물국밥국밥"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로20길17개포동1층"", ""normalized_detail_road_address"": ""서울강남구개포로20길17"", ""normalized_detail_jibun_address"": ""서울강남구개포동123117"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,3,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,10,10,,PARTIAL,,10265
6031,비어씨티,서울특별시 강남구 선릉로10길 4-6 (개포동) 1층,MATCHED,비어씨티,서울특별시 강남구 개포동 167-2,서울특별시 강남구 선릉로10길 4-6,개포동 비어씨티,1179814231,https://pcmap.place.naver.com/restaurant/1179814231/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""비어씨티맥주,호프"", ""candidate_address"": """", ""place_id"": ""1179814231"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1179814231/home"", ""detail_name"": ""비어씨티맥주,호프"", ""detail_road_address"": ""서울 강남구 선릉로10길 4-6"", ""detail_jibun_address"": ""서울 강남구 개포동 167-2"", ""normalized_source_name"": ""비어씨티"", ""normalized_detail_name"": ""비어씨티맥주호프"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구선릉로10길46개포동1층"", ""normalized_detail_road_address"": ""서울강남구선릉로10길46"", ""normalized_detail_jibun_address"": ""서울강남구개포동1672"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,5,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,3,2,10,,PARTIAL,,11967
6032,콩뿌리전주콩나물국밥,서울시 강남구 개포로 240 101,MATCHED,콩뿌리전주콩나물국밥 개포점,서울특별시 강남구 개포동 1217-6 혜영빌딩,서울특별시 강남구 개포로 240 혜영빌딩,매봉역 콩뿌리전주콩나물국밥,32721281,https://pcmap.place.naver.com/restaurant/32721281/home,RESOLVED,PARTIAL,QWEN,True,LOW,True,"2,0,1",2,2,"[{""rank"": 1, ""candidate_name"": ""콩뿌리콩나물국밥 양재점"", ""candidate_address"": """", ""place_id"": ""37889898"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/37889898/home"", ""detail_name"": ""콩뿌리콩나물국밥 양재점"", ""detail_road_address"": ""서울 서초구 바우뫼로 177 성문빌딩 1층"", ""detail_jibun_address"": ""서울 서초구 양재동 20-34"", ""normalized_source_name"": ""콩뿌리전주콩나물국밥"", ""normalized_detail_name"": ""콩뿌리콩나물국밥양재점"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울시강남구개포로240101"", ""normalized_detail_road_address"": ""서울서초구바우뫼로177성문빌딩1층"", ""normalized_detail_jibun_address"": ""서울서초구양재동2034"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 2, ""candidate_name"": ""콩뿌리전주콩나물국밥 개포점국밥"", ""candidate_address"": """", ""place_id"": ""32721281"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/32721281/home"", ""detail_name"": ""콩뿌리전주콩나물국밥 개포점국밥"", ""detail_road_address"": ""서울 강남구 개포로 240 혜영빌딩"", ""detail_jibun_address"": ""서울 강남구 개포동 1217-6"", ""normalized_source_name"": ""콩뿌리전주콩나물국밥"", ""normalized_detail_name"": ""콩뿌리전주콩나물국밥개포점국밥"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울시강남구개포로240101"", ""normalized_detail_road_address"": ""서울강남구개포로240혜영빌딩"", ""normalized_detail_jibun_address"": ""서울강남구개포동12176"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,12,False,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,15,11,10,,PARTIAL,,13030
6054,포이제면소,서울특별시 강남구 개포로30길 6(개포동) 1층(개포동),MATCHED,포이제면소,서울특별시 강남구 개포동 1214 1층,서울특별시 강남구 개포로30길 6 1층,매봉역 포이제면소,1662253151,https://pcmap.place.naver.com/restaurant/1662253151/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""포이제면소우동,소바"", ""candidate_address"": """", ""place_id"": ""1662253151"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1662253151/home"", ""detail_name"": ""포이제면소우동,소바"", ""detail_road_address"": ""서울 강남구 개포로30길 6 1층"", ""detail_jibun_address"": ""서울 강남구 개포동 1214"", ""normalized_source_name"": ""포이제면소"", ""normalized_detail_name"": ""포이제면소우동소바"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로30길6개포동1층개포동"", ""normalized_detail_road_address"": ""서울강남구개포로30길61층"", ""normalized_detail_jibun_address"": ""서울강남구개포동1214"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,12,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,13,10,,PARTIAL,,10580
6055,유정,"서울특별시 강남구  개포로109길 34 지하1층-127  (개포동,대청프라자)",AMBIGUOUS,,,,개포동 유정,20070652,https://pcmap.place.naver.com/restaurant/20070652/home,AMBIGUOUS,NOT_ATTEMPTED,QWEN,True,LOW,False,"0,1",,2,"[{""rank"": 1, ""candidate_name"": ""유정분식"", ""candidate_address"": """", ""place_id"": ""1652262417"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1652262417/home"", ""detail_name"": ""유정분식"", ""detail_road_address"": ""서울 강남구 역삼로 133 1층 2호(역삼동)"", ""detail_jibun_address"": ""서울 강남구 역삼동 752-41 1층 2호()"", ""normalized_source_name"": ""유정"", ""normalized_detail_name"": ""유정분식"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로109길34지하1층127개포동대청프라자"", ""normalized_detail_road_address"": ""서울강남구역삼로1331층2호역삼동"", ""normalized_detail_jibun_address"": ""서울강남구역삼동752411층2호"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}, {""rank"": 2, ""candidate_name"": ""유정삼겹한식"", ""candidate_address"": """", ""place_id"": ""20070652"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/20070652/home"", ""detail_name"": ""유정삼겹한식"", ""detail_road_address"": ""서울 강남구 테헤란로 418 다봉빌딩"", ""detail_jibun_address"": ""서울 강남구 대치동 890-12"", ""normalized_source_name"": ""유정"", ""normalized_detail_name"": ""유정삼겹한식"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로109길34지하1층127개포동대청프라자"", ""normalized_detail_road_address"": ""서울강남구테헤란로418다봉빌딩"", ""normalized_detail_jibun_address"": ""서울강남구대치동89012"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,8007
6063,서희네,서울특별시 강남구 개포로22길 41 (개포동) 101호,MATCHED,서희네,서울특별시 강남구 개포동 1203,서울특별시 강남구 개포로22길 41,매봉역 서희네,1849117994,https://pcmap.place.naver.com/restaurant/1849117994/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""서희네백반,가정식"", ""candidate_address"": """", ""place_id"": ""1849117994"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1849117994/home"", ""detail_name"": ""서희네백반,가정식"", ""detail_road_address"": ""서울 강남구 개포로22길 41"", ""detail_jibun_address"": ""서울 강남구 개포동 1203"", ""normalized_source_name"": ""서희네"", ""normalized_detail_name"": ""서희네백반가정식"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로22길41개포동101호"", ""normalized_detail_road_address"": ""서울강남구개포로22길41"", ""normalized_detail_jibun_address"": ""서울강남구개포동1203"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,10,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,6,10,,PARTIAL,,10300
6074,정가네부엌,서울특별시 강남구 개포로15길 5 (개포동) 101호,MATCHED,정가네부엌,서울특별시 강남구 개포동 1240-4 1 층 101,서울특별시 강남구 개포로15길 5 1 층 101,매봉역 정가네부엌,1562045377,https://pcmap.place.naver.com/restaurant/1562045377/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""정가네부엌한식"", ""candidate_address"": """", ""place_id"": ""1562045377"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1562045377/home"", ""detail_name"": ""정가네부엌한식"", ""detail_road_address"": ""서울 강남구 개포로15길 5 1 층 101"", ""detail_jibun_address"": ""서울 강남구 개포동 1240-4"", ""normalized_source_name"": ""정가네부엌"", ""normalized_detail_name"": ""정가네부엌한식"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로15길5개포동101호"", ""normalized_detail_road_address"": ""서울강남구개포로15길51층101"", ""normalized_detail_jibun_address"": ""서울강남구개포동12404"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,1,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,4,4,10,,PARTIAL,,10155
6079,다복 콩비지,서울시 강남구 개포로22길 31 다복 콩비지,UNMATCHED,,,,개포동 다복 콩비지,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,False,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_VALID_CANDIDATE,2954
6081,신전떡볶이개포점,서울특별시 강남구 개포로 508(개포동) 소망빌딩 1층,MATCHED,신전떡볶이 개포점,"서울특별시 강남구 개포동 186-15 101호, 102호","서울특별시 강남구 개포로 508 101호, 102호",개포동역 신전떡볶이개포점,1946598459,https://pcmap.place.naver.com/restaurant/1946598459/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""신전떡볶이 개포점분식"", ""candidate_address"": """", ""place_id"": ""1946598459"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1946598459/home"", ""detail_name"": ""신전떡볶이 개포점분식"", ""detail_road_address"": ""서울 강남구 개포로 508 101호, 102호"", ""detail_jibun_address"": ""서울 강남구 개포동 186-15"", ""normalized_source_name"": ""신전떡볶이개포점"", ""normalized_detail_name"": ""신전떡볶이개포점분식"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로508개포동소망빌딩1층"", ""normalized_detail_road_address"": ""서울강남구개포로508101호102호"", ""normalized_detail_jibun_address"": ""서울강남구개포동18615"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,38,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,9,10,,PARTIAL,,9770
