restaurant_id,komsco_name,komsco_address,previous_naver_status,naver_matched_external_name,naver_matched_address,naver_matched_road_address,query,place_id,place_url,resolve_status,detail_status,matcher_source,qwen_used,qwen_confidence,naver_db_fallback_available,qwen_ranking,resolved_rank,detail_validation_attempts,validation_attempts_json,detail_access_method,http_result,playwright_result,menu_count,parsed_menu_count,menu_complete,menu_fallback_used,home_status,hours_status,menu_status,review_status,review_requested,review_count,review_keyword_count,review_menu_mention_count,review_theme_count,representative_review_count,detail_warnings,result,reason,persistence_status,persistence_error,elapsed_ms
4377,청사포산꼼장어,서울특별시 강남구 언주로150길 50 (논현동) 1층,UNMATCHED,,,,논현동 청사포산꼼장어,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,False,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_VALID_CANDIDATE,NOT_ATTEMPTED,,3008
4380,가리비야,서울특별시 강남구 학동로4길 15 (논현동) 1층 113호,MATCHED,가리비야,서울특별시 강남구 논현동 122-8 1층 113호,서울특별시 강남구 학동로4길 15 1층 113호,논현동 가리비야,1184502434,https://pcmap.place.naver.com/restaurant/1184502434/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""가리비야"", ""candidate_address"": """", ""place_id"": ""1184502434"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1184502434/home"", ""detail_name"": ""가리비야"", ""detail_road_address"": ""서울 강남구 학동로4길 15 1층 113호"", ""detail_jibun_address"": ""서울 강남구 논현동 122-8"", ""normalized_source_name"": ""가리비야"", ""normalized_detail_name"": ""가리비야"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울특별시강남구학동로4길15논현동1층113호"", ""normalized_detail_road_address"": ""서울강남구학동로4길151층113호"", ""normalized_detail_jibun_address"": ""서울강남구논현동1228"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,21,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,13,10,,PARTIAL,,SUCCESS,,14457
4382,부엉이식당,서울특별시 강남구 학동로12길 8 (논현동) 1층 부엉이식당,MATCHED,부엉이 식당,서울특별시 강남구 논현동 124-15 1층,서울특별시 강남구 학동로12길 8 1층,논현역 부엉이식당,1824038108,https://pcmap.place.naver.com/restaurant/1824038108/home,RESOLVED,PARTIAL,QWEN,True,LOW,True,"0,1,2,3,4",1,1,"[{""rank"": 1, ""candidate_name"": ""부엉이 식당일식당"", ""candidate_address"": """", ""place_id"": ""1824038108"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1824038108/home"", ""detail_name"": ""부엉이 식당일식당"", ""detail_road_address"": ""서울 강남구 학동로12길 8 1층"", ""detail_jibun_address"": ""서울 강남구 논현동 124-15"", ""normalized_source_name"": ""부엉이식당"", ""normalized_detail_name"": ""부엉이식당일식당"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구학동로12길8논현동1층부엉이식당"", ""normalized_detail_road_address"": ""서울강남구학동로12길81층"", ""normalized_detail_jibun_address"": ""서울강남구논현동12415"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,7,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,13,10,,PARTIAL,,SUCCESS,,10590
4393,강남설렁탕,서울특별시 강남구 학동로2길 13 (논현동) 1층,MATCHED,강남설렁탕,서울특별시 강남구 논현동 141-4,서울특별시 강남구 학동로2길 13,논현역 강남설렁탕,10976693,https://pcmap.place.naver.com/restaurant/10976693/home,RESOLVED,PARTIAL,QWEN,True,LOW,True,"2,0,4,1,3",2,2,"[{""rank"": 1, ""candidate_name"": ""논현담설렁탕곰탕,설렁탕"", ""candidate_address"": """", ""place_id"": ""1317033126"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1317033126/home"", ""detail_name"": ""논현담설렁탕곰탕,설렁탕"", ""detail_road_address"": ""서울 강남구 학동로1길 14 1층"", ""detail_jibun_address"": ""서울 강남구 논현동 48-5"", ""normalized_source_name"": ""강남설렁탕"", ""normalized_detail_name"": ""논현담설렁탕곰탕설렁탕"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구학동로2길13논현동1층"", ""normalized_detail_road_address"": ""서울강남구학동로1길141층"", ""normalized_detail_jibun_address"": ""서울강남구논현동485"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 2, ""candidate_name"": ""강남설렁탕"", ""candidate_address"": """", ""place_id"": ""10976693"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/10976693/home"", ""detail_name"": ""강남설렁탕"", ""detail_road_address"": ""서울 강남구 학동로2길 13"", ""detail_jibun_address"": ""서울 강남구 논현동 141-4"", ""normalized_source_name"": ""강남설렁탕"", ""normalized_detail_name"": ""강남설렁탕"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울특별시강남구학동로2길13논현동1층"", ""normalized_detail_road_address"": ""서울강남구학동로2길13"", ""normalized_detail_jibun_address"": ""서울강남구논현동1414"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,15,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,12,10,,PARTIAL,,SUCCESS,,12697
4404,보승회관 강남구청역점,서울특별시 강남구 선릉로131길 8(논현동) 1층,MATCHED,보승회관 강남구청역점,서울특별시 강남구 논현동 111-13 노벨빌딩 1층 102호,서울특별시 강남구 선릉로131길 8 노벨빌딩 1층 102호,강남구청역 보승회관 강남구청역점,1808021883,https://pcmap.place.naver.com/restaurant/1808021883/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""보승회관 강남구청역점국밥"", ""candidate_address"": """", ""place_id"": ""1808021883"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1808021883/home"", ""detail_name"": ""보승회관 강남구청역점국밥"", ""detail_road_address"": ""서울 강남구 선릉로131길 8 노벨빌딩 1층 102호"", ""detail_jibun_address"": ""서울 강남구 논현동 111-13"", ""normalized_source_name"": ""보승회관강남구청역점"", ""normalized_detail_name"": ""보승회관강남구청역점국밥"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구선릉로131길8논현동1층"", ""normalized_detail_road_address"": ""서울강남구선릉로131길8노벨빌딩1층102호"", ""normalized_detail_jibun_address"": ""서울강남구논현동11113"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,20,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,13,10,,PARTIAL,,SUCCESS,,9760
4415,좋은친구,서울특별시 강남구 학동로30길 49(논현동) 104호,MATCHED,좋은친구,서울특별시 강남구 논현동 220-18,서울특별시 강남구 학동로30길 49,논현동 좋은친구,11816641,https://pcmap.place.naver.com/restaurant/11816641/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,True,0,,1,"[{""rank"": 1, ""candidate_name"": ""피디코리아기획 좋은친구 이벤트사이벤트,파티"", ""candidate_address"": """", ""place_id"": ""11816641"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/11816641/home"", ""detail_name"": ""피디코리아기획 좋은친구 이벤트사이벤트,파티"", ""detail_road_address"": ""서울 강남구 봉은사로33길 28"", ""detail_jibun_address"": ""서울 강남구 논현동 230"", ""normalized_source_name"": ""좋은친구"", ""normalized_detail_name"": ""피디코리아기획좋은친구이벤트사이벤트파티"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구학동로30길49논현동104호"", ""normalized_detail_road_address"": ""서울강남구봉은사로33길28"", ""normalized_detail_jibun_address"": ""서울강남구논현동230"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,7938
4416,종로떡폐백,서울시 강남구 강남대로124길 19 1층 101-2호,UNMATCHED,,,,논현동 종로떡폐백,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,False,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_VALID_CANDIDATE,NOT_ATTEMPTED,,2973
4439,엔237 카페 앤 베이커리,서울특별시 강남구 언주로113길 7(논현동) 1층,MATCHED,N 237 카페 앤 베이커리,서울특별시 강남구 논현동 237 101호,서울특별시 강남구 언주로113길 7 101호,논현동 엔237 카페 앤 베이커리,37272572,https://pcmap.place.naver.com/restaurant/37272572/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,True,0,,1,"[{""rank"": 1, ""candidate_name"": ""N237 카페 앤 베이커리카페,디저트"", ""candidate_address"": """", ""place_id"": ""37272572"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/37272572/home"", ""detail_name"": ""N237 카페 앤 베이커리카페,디저트"", ""detail_road_address"": ""서울 강남구 언주로113길 7 101호"", ""detail_jibun_address"": ""서울 강남구 논현동 237"", ""normalized_source_name"": ""엔237카페앤베이커리"", ""normalized_detail_name"": ""n237카페앤베이커리카페디저트"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구언주로113길7논현동1층"", ""normalized_detail_road_address"": ""서울강남구언주로113길7101호"", ""normalized_detail_jibun_address"": ""서울강남구논현동237"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""NAME_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,7949
4462,OPNNG(오프닝),서울특별시 강남구 도산대로34길 22(논현동) 빌딩 모노폴 지하 1층 OPNNG,MATCHED,오프닝,서울특별시 강남구 논현동 67-27 빌딩 모노폴 지하1층,서울특별시 강남구 도산대로34길 22 빌딩 모노폴 지하1층,학동역 OPNNG(오프닝),1376459277,https://pcmap.place.naver.com/restaurant/1376459277/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""오프닝"", ""candidate_address"": """", ""place_id"": ""1376459277"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1376459277/home"", ""detail_name"": ""오프닝"", ""detail_road_address"": ""서울 강남구 도산대로34길 22 빌딩 모노폴 지하1층"", ""detail_jibun_address"": ""서울 강남구 논현동 67-27"", ""normalized_source_name"": ""opnng오프닝"", ""normalized_detail_name"": ""오프닝"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구도산대로34길22논현동빌딩모노폴지하1층opnng"", ""normalized_detail_road_address"": ""서울강남구도산대로34길22빌딩모노폴지하1층"", ""normalized_detail_jibun_address"": ""서울강남구논현동6727"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,1,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,11,10,,PARTIAL,,SUCCESS,,9393
4463,혼돈(魂豚),서울특별시 강남구 언주로115길 15(논현동) 1층 101호,UNMATCHED,,,,논현동 혼돈(魂豚),,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,False,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_VALID_CANDIDATE,NOT_ATTEMPTED,,2913
