restaurant_id,komsco_name,komsco_address,previous_naver_status,naver_matched_external_name,naver_matched_address,naver_matched_road_address,query,place_id,place_url,resolve_status,detail_status,matcher_source,qwen_used,qwen_confidence,naver_db_fallback_available,qwen_ranking,resolved_rank,detail_validation_attempts,validation_attempts_json,detail_access_method,http_result,playwright_result,menu_count,parsed_menu_count,menu_complete,menu_fallback_used,home_status,hours_status,menu_status,review_status,review_requested,review_count,review_keyword_count,review_menu_mention_count,review_theme_count,representative_review_count,detail_warnings,result,reason,elapsed_ms
4432,주식회사코코아이,서울시 강남구 논현로12길 3-12 101호,UNMATCHED,,,,개포동 주식회사코코아이,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,False,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_VALID_CANDIDATE,3111
4521,사보르김밥,서울특별시 강남구 개포로82길 9-11 (개포동) 사보르김밥,UNMATCHED,,,,개포동 사보르김밥,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,False,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,CANDIDATE_PLACE_ID_MISSING,2967
4581,리미티드 하누,서울특별시 강남구 논현로 10길 29 지상2층,MATCHED,,,,CHECKPOINT,33243499,https://pcmap.place.naver.com/restaurant/33243499/home,RESOLVED,PARTIAL,VERIFIED_CHECKPOINT,False,,True,0,1,0,[],PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,17,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,10,10,,PARTIAL,,6654
4593,우리생고기,서울시 강남구 선릉로8길 9 1층 우리생고기(개포동),UNMATCHED,,,,개포동 우리생고기,36004730,https://pcmap.place.naver.com/restaurant/36004730/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,False,0,,1,"[{""rank"": 1, ""candidate_name"": ""우리생고기"", ""candidate_address"": """", ""place_id"": ""36004730"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/36004730/home"", ""detail_name"": ""우리생고기"", ""detail_road_address"": ""서울 강남구 개포로82길 13-17 대화빌딩 2층"", ""detail_jibun_address"": ""서울 강남구 개포동 186-7"", ""normalized_source_name"": ""우리생고기"", ""normalized_detail_name"": ""우리생고기"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울시강남구선릉로8길91층우리생고기개포동"", ""normalized_detail_road_address"": ""서울강남구개포로82길1317대화빌딩2층"", ""normalized_detail_jibun_address"": ""서울강남구개포동1867"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,5473
4599,도야족발,"서울시 강남구 개포로 512 115호, 개포종합상가",MATCHED,도야족발 개포점,서울특별시 강남구 개포동 186-17 개포종합상가 115호,서울특별시 강남구 개포로 512 개포종합상가 115호,개포동역 도야족발,38494858,https://pcmap.place.naver.com/restaurant/38494858/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""도야족발 개포점족발,보쌈"", ""candidate_address"": """", ""place_id"": ""38494858"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/38494858/home"", ""detail_name"": ""도야족발 개포점족발,보쌈"", ""detail_road_address"": ""서울 강남구 개포로 512 개포종합상가 115호"", ""detail_jibun_address"": ""서울 강남구 개포동 186-17"", ""normalized_source_name"": ""도야족발"", ""normalized_detail_name"": ""도야족발개포점족발보쌈"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울시강남구개포로512115호개포종합상가"", ""normalized_detail_road_address"": ""서울강남구개포로512개포종합상가115호"", ""normalized_detail_jibun_address"": ""서울강남구개포동18617"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,21,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,8,5,10,,PARTIAL,,9259
4622,교촌치킨 개포2호점,서울특별시 강남구 선릉로6길 12(개포동) 1층 교촌치킨,MATCHED,교촌치킨 개포2호점,서울특별시 강남구 개포동 158-4 교촌치킨 개포2호점,서울특별시 강남구 선릉로6길 12 교촌치킨 개포2호점,개포동 교촌치킨 개포2호점,1742242826,https://pcmap.place.naver.com/restaurant/1742242826/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""교촌치킨 개포2호점"", ""candidate_address"": """", ""place_id"": ""1742242826"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1742242826/home"", ""detail_name"": ""교촌치킨 개포2호점"", ""detail_road_address"": ""서울 강남구 선릉로6길 12 교촌치킨 개포2호점"", ""detail_jibun_address"": ""서울 강남구 개포동 158-4"", ""normalized_source_name"": ""교촌치킨개포2호점"", ""normalized_detail_name"": ""교촌치킨개포2호점"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울특별시강남구선릉로6길12개포동1층교촌치킨"", ""normalized_detail_road_address"": ""서울강남구선릉로6길12교촌치킨개포2호점"", ""normalized_detail_jibun_address"": ""서울강남구개포동1584"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,83,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,7,7,10,,PARTIAL,,12541
4627,시골밥상,서울시 강남구 개포로25길6 시골밥상,MATCHED,시골밥상,서울특별시 강남구 개포동 1260-14,서울특별시 강남구 개포로25길 6,매봉역 시골밥상,18423901,https://pcmap.place.naver.com/restaurant/18423901/home,RESOLVED,PARTIAL,QWEN,True,LOW,True,"1,0,2",1,1,"[{""rank"": 1, ""candidate_name"": ""시골밥상한식"", ""candidate_address"": ""영업 중리뷰 270서울 강남구 개포동"", ""place_id"": ""18423901"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/18423901/home"", ""detail_name"": ""시골밥상한식"", ""detail_road_address"": ""서울 강남구 개포로25길 6"", ""detail_jibun_address"": ""서울 강남구 개포동 1260-14"", ""normalized_source_name"": ""시골밥상"", ""normalized_detail_name"": ""시골밥상한식"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울시강남구개포로25길6시골밥상"", ""normalized_detail_road_address"": ""서울강남구개포로25길6"", ""normalized_detail_jibun_address"": ""서울강남구개포동126014"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,24,False,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,15,6,10,,PARTIAL,,10514
4658,미도리,서울특별시 강남구 논현로18길 11 (개포동) 1층 미도리,MATCHED,,,,매봉역 미도리,1124953384,https://pcmap.place.naver.com/restaurant/1124953384/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""미도리초밥,롤"", ""candidate_address"": """", ""place_id"": ""1124953384"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1124953384/home"", ""detail_name"": ""미도리초밥,롤"", ""detail_road_address"": ""서울 강남구 논현로18길 11"", ""detail_jibun_address"": ""서울 강남구 개포동 1237-18"", ""normalized_source_name"": ""미도리"", ""normalized_detail_name"": ""미도리초밥롤"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구논현로18길11개포동1층미도리"", ""normalized_detail_road_address"": ""서울강남구논현로18길11"", ""normalized_detail_jibun_address"": ""서울강남구개포동123718"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,6,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,8,10,,PARTIAL,,10477
4678,이모네깁밥,서울특별시 강남구 개포로 307 (우성3차아파트) 이모네깁밥,UNMATCHED,,,,개포동 이모네깁밥,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,False,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_VALID_CANDIDATE,2991
4682,생선쓰,서울특별시 강남구 삼성로 38(개포동) 1층 112호,MATCHED,생선쓰,서울특별시 강남구 개포동 186-12 삼성빌딩 204호,서울특별시 강남구 개포로82길 7 삼성빌딩 204호,개포동 생선쓰,1530589732,https://pcmap.place.naver.com/restaurant/1530589732/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,True,0,,1,"[{""rank"": 1, ""candidate_name"": ""생선쓰초밥,롤"", ""candidate_address"": """", ""place_id"": ""1530589732"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1530589732/home"", ""detail_name"": ""생선쓰초밥,롤"", ""detail_road_address"": ""서울 강남구 개포로82길 7 삼성빌딩 204호"", ""detail_jibun_address"": ""서울 강남구 개포동 186-12"", ""normalized_source_name"": ""생선쓰"", ""normalized_detail_name"": ""생선쓰초밥롤"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구삼성로38개포동1층112호"", ""normalized_detail_road_address"": ""서울강남구개포로82길7삼성빌딩204호"", ""normalized_detail_jibun_address"": ""서울강남구개포동18612"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,7982
