restaurant_id,komsco_name,komsco_address,query,place_id,place_url,resolve_status,detail_status,matcher_source,qwen_used,qwen_confidence,qwen_ranking,resolved_rank,detail_validation_attempts,candidate_count_before_filter,candidate_count_after_filter,qwen_pool_count,validation_attempts_json,detail_access_method,http_result,playwright_result,menu_count,parsed_menu_count,menu_complete,menu_fallback_used,home_status,hours_status,menu_status,review_status,review_requested,review_count,review_keyword_count,review_menu_mention_count,review_theme_count,representative_review_count,detail_warnings,result,reason,persistence_status,persistence_error,elapsed_ms
9559,모우리,서울특별시 강남구 학동로2길 20 (논현동) 논현동 142-9번지 2층,논현동 모우리,269479759,https://pcmap.place.naver.com/restaurant/269479759/home,RESOLVED,PARTIAL,QWEN,True,HIGH,0,1,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""모우리 한우"", ""candidate_address"": ""서울특별시 강남구 학동로2길 20 2층"", ""place_id"": ""269479759"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/269479759/home"", ""detail_name"": ""모우리 한우"", ""detail_road_address"": ""서울 강남구 학동로2길 20 2층"", ""detail_jibun_address"": ""서울 강남구 논현동 142-9"", ""normalized_source_name"": ""모우리"", ""normalized_detail_name"": ""모우리한우"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구학동로2길20논현동논현동1429번지2층"", ""normalized_detail_road_address"": ""서울강남구학동로2길202층"", ""normalized_detail_jibun_address"": ""서울강남구논현동1429"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""도로명(학동로2길 20)과 건물번호(20)가 완전히 일치하며, 지번주소(논현동 142-9)도 일치합니다. 주소의 핵심 요소인 도로명과 지번이 동일하여 강한 MATCH 증거입니다. 업종도 한식 소고기구이로 음식점 범주에 속하며, 좌표도 완전히 일치합니다. 지점명의 차이(모우리 vs 모우리 한우)는 브랜드 확장 또는 지점명 변경 가능성으로, 주소와 좌표의 일치로 인해 실제 같은 사업장으로 판단됩니다."", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,28,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,12,10,,PARTIAL,,NOT_ATTEMPTED,,30579
9571,피자스쿨 강남논현점,서울시 강남구 강남대로122길 41 102호,논현동 피자스쿨 강남논현점,34489494,https://pcmap.place.naver.com/restaurant/34489494/home,RESOLVED,PARTIAL,QWEN,True,HIGH,0,1,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""피자스쿨 논현점"", ""candidate_address"": ""서울특별시 강남구 강남대로122길 41"", ""place_id"": ""34489494"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/34489494/home"", ""detail_name"": ""피자스쿨 논현점"", ""detail_road_address"": ""서울 강남구 강남대로122길 41"", ""detail_jibun_address"": ""서울 강남구 논현동 159-20"", ""normalized_source_name"": ""피자스쿨강남논현점"", ""normalized_detail_name"": ""피자스쿨논현점"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울시강남구강남대로122길41102호"", ""normalized_detail_road_address"": ""서울강남구강남대로122길41"", ""normalized_detail_jibun_address"": ""서울강남구논현동15920"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""NAME_MISMATCH"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""도로명(강남대로122길)과 건물번호(41)가 완전히 일치하며, 주소의 핵심 요소(도로명, 건물번호, 구)가 동일합니다. 지점명은 '논현점'과 '강남논현점'으로, '논현'이라는 지역명이 포함되어 있어 동일한 지점으로 추정됩니다. 업종도 '음식점 > 피자'로 일치하며, 좌표도 매우 가까운 범위에 있습니다. 따라서 이는 실제 같은 사업장으로 판단됩니다."", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,42,42,True,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,12,7,10,,PARTIAL,,NOT_ATTEMPTED,,25365
9583,파파존스 논현점,서울 강남구 학동로 328 1층 1층,논현동 파파존스 논현점,1806255012,https://pcmap.place.naver.com/restaurant/1806255012/home,RESOLVED,PARTIAL,QWEN,True,HIGH,0,1,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""파파존스 논현점"", ""candidate_address"": ""서울특별시 강남구 학동로 328 1층"", ""place_id"": ""1806255012"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1806255012/home"", ""detail_name"": ""파파존스 논현점"", ""detail_road_address"": ""서울 강남구 학동로 328 1층"", ""detail_jibun_address"": ""서울 강남구 논현동 240-3"", ""normalized_source_name"": ""파파존스논현점"", ""normalized_detail_name"": ""파파존스논현점"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울강남구학동로3281층1층"", ""normalized_detail_road_address"": ""서울강남구학동로3281층"", ""normalized_detail_jibun_address"": ""서울강남구논현동2403"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""도로명(학동로 328)과 건물번호(1층)이 완전히 일치하며, 주소의 핵심 요소(도로명, 건물번호, 시·구·동)가 동일합니다. KOMSCO의 주소는 '1층 1층'으로 중복되었지만, 이는 단순한 입력 오류일 가능성이 높으며, 실제 위치는 동일합니다. PCMap의 카테고리도 '음식점 > 피자'로 일치하며, 좌표도 매우 가까운 범위에 있습니다. 따라서 이는 실제 동일한 사업장으로 판단됩니다."", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,24,False,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,7,7,10,,PARTIAL,,NOT_ATTEMPTED,,24728
9594,돼지가엔푸드,서울특별시 강남구 봉은사로11길 6 (논현동) 지하1층,논현동 돼지가엔푸드,1098991712,https://pcmap.place.naver.com/restaurant/1098991712/home,RESOLVED,PARTIAL,QWEN,True,HIGH,0,1,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""돼지가엔푸드"", ""candidate_address"": ""서울특별시 강남구 강남대로118길 61 1층/ 101호 돼지가바다에빠진날"", ""place_id"": ""1098991712"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1098991712/home"", ""detail_name"": ""돼지가엔푸드"", ""detail_road_address"": ""서울 강남구 강남대로118길 61 1층/ 101호 돼지가바다에빠진날"", ""detail_jibun_address"": ""서울 강남구 논현동 180-13"", ""normalized_source_name"": ""돼지가엔푸드"", ""normalized_detail_name"": ""돼지가엔푸드"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울특별시강남구봉은사로11길6논현동지하1층"", ""normalized_detail_road_address"": ""서울강남구강남대로118길611층101호돼지가바다에빠진날"", ""normalized_detail_jibun_address"": ""서울강남구논현동18013"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""ADDRESS_MISMATCH"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""도로명(강남대로118길)과 건물번호(61)이 일치하며, 지번주소(논현동 180-13)도 KOMSCO 주소(논현동)와 동일합니다. 주소의 핵심 요소인 도로명, 건물번호, 동이 일치하며, 업종도 음식점으로 일치합니다. 지점명(돼지가바다에빠진날)은 KOMSCO의 이름과 동일하며, 층/호 정보는 생략되었지만, 주소의 핵심 동일성 증거가 충분합니다. 따라서 MATCH로 판단합니다."", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,5,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,13,10,,PARTIAL,,NOT_ATTEMPTED,,24715
9606,제이콥스플래닝앤디자인,서울특별시 강남구 학동로53길 3-12 (논현동) 제이콥스플래닝앤디자인,논현동 제이콥스플래닝앤디자인,1940598959,https://pcmap.place.naver.com/restaurant/1940598959/home,NOT_FOUND,NOT_ATTEMPTED,QWEN,True,LOW,0,,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""제이콥스플래닝앤디자인"", ""candidate_address"": ""서울특별시 강남구 학동로 343 포바강남타워 8층"", ""place_id"": ""1940598959"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1940598959/home"", ""detail_name"": ""제이콥스플래닝앤디자인"", ""detail_road_address"": ""서울 강남구 학동로 343 포바강남타워 8층"", ""detail_jibun_address"": ""서울 강남구 논현동 119"", ""normalized_source_name"": ""제이콥스플래닝앤디자인"", ""normalized_detail_name"": ""제이콥스플래닝앤디자인"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울특별시강남구학동로53길312논현동제이콥스플래닝앤디자인"", ""normalized_detail_road_address"": ""서울강남구학동로343포바강남타워8층"", ""normalized_detail_jibun_address"": ""서울강남구논현동119"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""QWEN_NO_MATCH"", ""semantic_decision"": ""NO_MATCH"", ""semantic_reason"": ""KOMSCO의 주소와 PCMap의 주소, 좌표, 업종이 모두 불일치하며, 업종이 명백히 음식점이 아님. 주소의 핵심 요소(도로명, 건물번호, 동)가 모두 다르므로, 동일한 사업장으로 판단할 수 없음."", ""fatal_veto"": """"}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_MATCH,NOT_ATTEMPTED,,48289
9617,(주)에스지푸드 논현역 마성떡볶이,서울특별시 강남구 학동로 지하 102 (논현동) 지하 1층 732-102호 (논현역),논현동 (주)에스지푸드 논현역 마성떡볶이,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,,,0,0,0,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_SEARCH_RESULT,NOT_ATTEMPTED,,10775
9619,우정양곱창,서울시 강남구 도산대로30길 23 1층,논현동 우정양곱창,1921750340,https://pcmap.place.naver.com/restaurant/1921750340/home,RESOLVED,PARTIAL,QWEN,True,HIGH,0,1,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""우정양곱창"", ""candidate_address"": ""서울특별시 강남구 도산대로30길 23 1층 우정양곱창"", ""place_id"": ""1921750340"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1921750340/home"", ""detail_name"": ""우정양곱창"", ""detail_road_address"": ""서울 강남구 도산대로30길 23 1층 우정양곱창"", ""detail_jibun_address"": ""서울 강남구 논현동 67-11"", ""normalized_source_name"": ""우정양곱창"", ""normalized_detail_name"": ""우정양곱창"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울시강남구도산대로30길231층"", ""normalized_detail_road_address"": ""서울강남구도산대로30길231층우정양곱창"", ""normalized_detail_jibun_address"": ""서울강남구논현동6711"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""도로명(도산대로30길 23)과 건물번호(23)가 일치하며, 주소의 핵심 요소(도로명, 건물번호, 구)가 동일합니다. 좌표는 약간 차이가 있지만, 동일한 위치로 추정됩니다. 업종도 한식 > 곱창,막창,양으로 음식점에 해당합니다. 이름과 주소가 일치하며, 다른 정보가 충돌하지 않으므로 MATCH로 판단합니다."", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,10,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,13,10,,PARTIAL,,NOT_ATTEMPTED,,24146
9631,"오늘, 와인한잔","서울특별시 강남구 봉은사로1길 33, 1층 (논현동) 오늘, 와인한잔","논현동 오늘, 와인한잔",1625089699,https://pcmap.place.naver.com/restaurant/1625089699/home,RESOLVED,PARTIAL,QWEN,True,HIGH,"0,1",1,1,2,2,2,"[{""rank"": 1, ""candidate_name"": ""오늘와인한잔 논현점"", ""candidate_address"": ""서울특별시 강남구 봉은사로1길 33 논현빌딩 1층 오늘와인한잔"", ""place_id"": ""1625089699"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1625089699/home"", ""detail_name"": ""오늘와인한잔 논현점"", ""detail_road_address"": ""서울 강남구 봉은사로1길 33 논현빌딩 1층 오늘와인한잔"", ""detail_jibun_address"": ""서울 강남구 논현동 165-13"", ""normalized_source_name"": ""오늘와인한잔"", ""normalized_detail_name"": ""오늘와인한잔논현점"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구봉은사로1길331층논현동오늘와인한잔"", ""normalized_detail_road_address"": ""서울강남구봉은사로1길33논현빌딩1층오늘와인한잔"", ""normalized_detail_jibun_address"": ""서울강남구논현동16513"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""도로명, 건물번호, 층수, 지번 주소가 모두 일치하며, 업종도 음식점 범주에 속함. 단순 표현 차이와 좌표 미세 차이만으로도 강한 MATCH 증거로 판단됨."", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,18,18,True,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,15,10,10,,PARTIAL,,NOT_ATTEMPTED,,47525
9643,반포식스선정릉역점,서울시 강남구 선릉로 603 2층,논현동 반포식스선정릉역점,35781732,https://pcmap.place.naver.com/restaurant/35781732/home,RESOLVED,SUCCESS,QWEN,True,HIGH,0,1,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""반포식스 선정릉역점"", ""candidate_address"": ""서울특별시 강남구 선릉로 603 2층"", ""place_id"": ""35781732"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/35781732/home"", ""detail_name"": ""반포식스 선정릉역점"", ""detail_road_address"": ""서울 강남구 선릉로 603 2층"", ""detail_jibun_address"": ""서울 강남구 논현동 278-7"", ""normalized_source_name"": ""반포식스선정릉역점"", ""normalized_detail_name"": ""반포식스선정릉역점"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울시강남구선릉로6032층"", ""normalized_detail_road_address"": ""서울강남구선릉로6032층"", ""normalized_detail_jibun_address"": ""서울강남구논현동2787"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""도로명(선릉로 603)과 건물번호(603)가 완전히 일치하며, 지번주소(논현동 278-7)도 KOMSCO 주소(선릉로 603)와 동일한 지역을 나타냅니다. 주소 정보가 완전히 일치하고, 업종도 음식점으로 분류되어 있으며, 좌표도 매우 가까운 범위에 있습니다. 단순한 표현 차이(도로명 vs 지번, 층의 표현 등)만으로는 동일성을 판단할 수 있으며, KOMSCO의 정보와 PCMap의 정보가 서로 강한 일치를 보입니다. 따라서 MATCH로 판단합니다."", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,1,41,True,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,13,10,,SUCCESS,,NOT_ATTEMPTED,,23872
9654,지리산,서울특별시 강남구 학동로43길 7 (논현동) 지상,논현동 지리산,36004008,https://pcmap.place.naver.com/restaurant/36004008/home,RESOLVED,SUCCESS,QWEN,True,HIGH,"0,1,2",1,1,3,3,3,"[{""rank"": 1, ""candidate_name"": ""지리산"", ""candidate_address"": ""서울특별시 강남구 학동로43길 7"", ""place_id"": ""36004008"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/36004008/home"", ""detail_name"": ""지리산"", ""detail_road_address"": ""서울 강남구 학동로43길 7"", ""detail_jibun_address"": ""서울 강남구 논현동 115-6"", ""normalized_source_name"": ""지리산"", ""normalized_detail_name"": ""지리산"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울특별시강남구학동로43길7논현동지상"", ""normalized_detail_road_address"": ""서울강남구학동로43길7"", ""normalized_detail_jibun_address"": ""서울강남구논현동1156"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""도로명 주소, 지번 주소, 좌표가 모두 일치하며, 카테고리도 음식점으로 명확히 분류되어 있음. KOMSCO의 업종 정보가 없어도 PCMap의 카테고리로 충분히 음식점으로 판단 가능. 동일한 위치와 이름, 주소, 카테고리가 모두 일치하므로 MATCH로 판단"", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,4,4,True,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,10,10,,SUCCESS,,NOT_ATTEMPTED,,26988
