restaurant_id,status,place_id,updated_at,reason
9559,RESOLVED,269479759,2026-09-21T15:18:54,
9571,RESOLVED,34489494,2026-09-21T15:19:25,
9583,RESOLVED,1806255012,2026-09-21T15:19:54,
9594,RESOLVED,1098991712,2026-09-21T15:20:24,
9606,NOT_FOUND,1940598959,2026-09-21T15:21:17,NO_MATCH
9617,NOT_FOUND,,2026-09-21T15:21:33,NO_SEARCH_RESULT
9619,RESOLVED,1921750340,2026-09-21T15:22:02,
9631,RESOLVED,1625089699,2026-09-21T15:22:55,
9643,RESOLVED,35781732,2026-09-21T15:23:24,
9654,RESOLVED,36004008,2026-09-21T15:23:56,
9666,RESOLVED,1274117863,2026-09-21T15:24:22,
9678,ERROR,2144350067,2026-09-21T15:28:19,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
9690,RESOLVED,20601226,2026-09-21T15:28:48,
9701,RESOLVED,1095098957,2026-09-21T15:29:15,
9713,NOT_FOUND,,2026-09-21T15:30:52,NO_SEARCH_RESULT
9722,NOT_FOUND,,2026-09-21T15:31:05,NO_SEARCH_RESULT
9726,NOT_FOUND,,2026-09-21T15:31:36,NO_SEARCH_RESULT
9738,NOT_FOUND,,2026-09-21T15:32:10,NO_SEARCH_RESULT
9750,NOT_FOUND,,2026-09-21T15:33:12,NO_SEARCH_RESULT
9761,NOT_FOUND,1313653997,2026-09-21T15:33:57,NO_MATCH
9763,RESOLVED,1627399744,2026-09-21T15:34:53,
9772,RESOLVED,1030261778,2026-09-21T15:35:20,
9775,RESOLVED,38276825,2026-09-21T15:35:52,
9787,ERROR,1155739413,2026-09-21T15:37:45,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
9799,RESOLVED,1160452164,2026-09-21T15:38:10,
9807,NOT_FOUND,,2026-09-21T15:38:26,NO_SEARCH_RESULT
9812,RESOLVED,1079116414,2026-09-21T15:38:54,
9823,RESOLVED,13156287,2026-09-21T15:39:25,
9835,RESOLVED,18509081,2026-09-21T15:39:54,
9847,RESOLVED,33252316,2026-09-21T15:40:20,
9859,NOT_FOUND,,2026-09-21T15:40:33,NO_SEARCH_RESULT
9871,RESOLVED,35643684,2026-09-21T15:41:07,
9882,RESOLVED,1648484876,2026-09-21T15:41:33,
9894,RESOLVED,37815174,2026-09-21T15:42:03,
9906,ERROR,1665837561,2026-09-21T15:44:23,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
9918,RESOLVED,103557699,2026-09-21T15:44:48,
9930,RESOLVED,1946818857,2026-09-21T15:45:12,
9941,RESOLVED,1085849913,2026-09-21T15:46:00,
9953,RESOLVED,1089646956,2026-09-21T15:46:32,
9965,ERROR,1052931265,2026-09-21T15:47:40,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
9977,RESOLVED,13505971,2026-09-21T15:48:06,
9988,RESOLVED,1138320397,2026-09-21T15:48:40,
10000,ERROR,1008380466,2026-09-21T15:49:36,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
10012,RESOLVED,1311241822,2026-09-21T15:50:02,
10024,RESOLVED,1702659927,2026-09-21T15:50:33,
10036,RESOLVED,20897287,2026-09-21T15:51:07,
10047,NOT_FOUND,1475532395,2026-09-21T15:54:12,NO_MATCH
10059,RESOLVED,1360833438,2026-09-21T15:54:41,
10064,RESOLVED,1455915335,2026-09-21T15:55:12,
10072,RESOLVED,1451543155,2026-09-21T15:55:46,
