restaurant_id,place_id,resolved_name,resolved_address,verification_status,verified_at
9583,1806255012,파파존스 논현점,서울 강남구 학동로 328 1층,RESOLVED,2026-09-21T02:43:02
9631,1625089699,오늘와인한잔 논현점와인,서울 강남구 봉은사로1길 33 논현빌딩 1층 오늘와인한잔,RESOLVED,2026-09-21T02:46:39
9643,35781732,반포식스 선정릉역점,서울 강남구 선릉로 603 2층,RESOLVED,2026-09-21T02:47:06
9654,36004008,지리산한식,서울 강남구 학동로43길 7,RESOLVED,2026-09-21T02:47:34
9666,1274117863,봉추찜닭 강남구청역점,"서울 강남구 학동로 343 (논현동, 더피나클강남) 지하2층",RESOLVED,2026-09-21T02:47:55
9812,1079116414,테이블105 논현8번지한식,서울 강남구 도산대로26길 11,RESOLVED,2026-09-21T03:02:36
9823,13156287,방일해장국 논현점해장국,서울 강남구 봉은사로37길 31,RESOLVED,2026-09-21T03:03:01
9871,35643684,"곰작골나주곰탕 학동점곰탕,설렁탕",서울 강남구 학동로 221 예진빌딩,RESOLVED,2026-09-21T03:07:41
9882,1648484876,학동부대한식,"서울 강남구 학동로 224 B101, B102",RESOLVED,2026-09-21T03:08:10
9918,103557699,하남돼지집 학동역점,서울 강남구 언주로133길 18,RESOLVED,2026-09-21T03:11:33
9941,1085849913,본죽&비빔밥cafe 강남구청역점,서울 강남구 선릉로131길 24 1층,RESOLVED,2026-09-21T03:12:54
9953,1089646956,논현동빨간떡볶이,서울 강남구 강남대로118길 62,RESOLVED,2026-09-21T03:13:23
10024,1702659927,논현감자탕,서울 강남구 학동로 235 로이빌딩 2층 논현감자탕,RESOLVED,2026-09-21T03:20:07
10072,1451543155,찌개마을시골촌닭볶음탕,서울 강남구 학동로34길 17 지상1층,RESOLVED,2026-09-21T03:26:17
