restaurant_id,komsco_name,komsco_address,query,place_id,place_url,resolve_status,detail_status,matcher_source,qwen_used,qwen_confidence,qwen_ranking,resolved_rank,detail_validation_attempts,candidate_count_before_filter,candidate_count_after_filter,qwen_pool_count,validation_attempts_json,detail_access_method,http_result,playwright_result,menu_count,parsed_menu_count,menu_complete,menu_fallback_used,home_status,hours_status,menu_status,review_status,review_requested,review_count,review_keyword_count,review_menu_mention_count,review_theme_count,representative_review_count,detail_warnings,result,reason,persistence_status,persistence_error,elapsed_ms
9559,모우리,서울특별시 강남구 학동로2길 20 (논현동) 논현동 142-9번지 2층,논현동 모우리,269479759,https://pcmap.place.naver.com/restaurant/269479759/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,0,,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""모우리 한우"", ""candidate_address"": """", ""place_id"": ""269479759"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/269479759/home"", ""detail_name"": ""모우리 한우"", ""detail_road_address"": ""서울 강남구 학동로2길 20 2층"", ""detail_jibun_address"": ""서울 강남구 논현동 142-9"", ""normalized_source_name"": ""모우리"", ""normalized_detail_name"": ""모우리한우"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구학동로2길20논현동논현동1429번지2층"", ""normalized_detail_road_address"": ""서울강남구학동로2길202층"", ""normalized_detail_jibun_address"": ""서울강남구논현동1429"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""QWEN_NO_MATCH"", ""semantic_decision"": ""NO_MATCH"", ""semantic_reason"": ""주소의 핵심 요소인 도로명(학동로2길), 건물번호(20), 층(2층)은 일치하지만, 지번(142-9번지)과 동명(논현동)은 누락 또는 생략되어 명확한 동일성 판단이 어렵다. 또한 좌표 정보가 누락되어 위치 확인이 불가능하며, '한우'라는 추가 지점명이 포함되어 실제 지점이 다른 것으로 판단된다."", ""fatal_veto"": """"}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,53775
9571,피자스쿨 강남논현점,서울시 강남구 강남대로122길 41 102호,논현동 피자스쿨 강남논현점,34489494,https://pcmap.place.naver.com/restaurant/34489494/home,ERROR,NOT_ATTEMPTED,SINGLE_CANDIDATE,True,,0,,1,1,1,1,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry,NOT_ATTEMPTED,,86127
9583,파파존스 논현점,서울 강남구 학동로 328 1층 1층,논현동 파파존스 논현점,1806255012,https://pcmap.place.naver.com/restaurant/1806255012/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,0,1,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""파파존스 논현점"", ""candidate_address"": """", ""place_id"": ""1806255012"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1806255012/home"", ""detail_name"": ""파파존스 논현점"", ""detail_road_address"": ""서울 강남구 학동로 328 1층"", ""detail_jibun_address"": ""서울 강남구 논현동 240-3"", ""normalized_source_name"": ""파파존스논현점"", ""normalized_detail_name"": ""파파존스논현점"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울강남구학동로3281층1층"", ""normalized_detail_road_address"": ""서울강남구학동로3281층"", ""normalized_detail_jibun_address"": ""서울강남구논현동2403"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""주소 정보는 '서울 강남구 학동로 328 1층'으로 완전히 일치하며, 지점명도 동일합니다. 건물번호와 층수는 동일하게 기재되어 있으며, 도로명과 구역도 일치합니다. 다만 PCMap의 좌표 정보가 누락되어 정확한 위치 확인이 어렵지만, 주소 기준으로는 동일한 사업장으로 판단됩니다."", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,24,False,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,7,7,10,,PARTIAL,,NOT_ATTEMPTED,,20307
9594,돼지가엔푸드,서울특별시 강남구 봉은사로11길 6 (논현동) 지하1층,논현동 돼지가엔푸드,1098991712,https://pcmap.place.naver.com/restaurant/1098991712/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,0,,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""돼지가엔푸드"", ""candidate_address"": """", ""place_id"": ""1098991712"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1098991712/home"", ""detail_name"": ""돼지가엔푸드"", ""detail_road_address"": ""서울 강남구 강남대로118길 61 1층/ 101호 돼지가바다에빠진날"", ""detail_jibun_address"": ""서울 강남구 논현동 180-13"", ""normalized_source_name"": ""돼지가엔푸드"", ""normalized_detail_name"": ""돼지가엔푸드"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울특별시강남구봉은사로11길6논현동지하1층"", ""normalized_detail_road_address"": ""서울강남구강남대로118길611층101호돼지가바다에빠진날"", ""normalized_detail_jibun_address"": ""서울강남구논현동18013"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""QWEN_NO_MATCH"", ""semantic_decision"": ""NO_MATCH"", ""semantic_reason"": ""주소의 도로명, 건물번호, 층/호, 동 등 핵심 정보가 모두 다르며, 업종 정보도 상이하여 실제 같은 사업장으로 판단할 수 없습니다."", ""fatal_veto"": """"}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,36797
9606,제이콥스플래닝앤디자인,서울특별시 강남구 학동로53길 3-12 (논현동) 제이콥스플래닝앤디자인,논현동 제이콥스플래닝앤디자인,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,,,0,1,0,1,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,CANDIDATE_PLACE_ID_MISSING,NOT_ATTEMPTED,,7975
9617,(주)에스지푸드 논현역 마성떡볶이,서울특별시 강남구 학동로 지하 102 (논현동) 지하 1층 732-102호 (논현역),논현동 (주)에스지푸드 논현역 마성떡볶이,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,,,0,0,0,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_VALID_CANDIDATE,NOT_ATTEMPTED,,10483
9619,우정양곱창,서울시 강남구 도산대로30길 23 1층,논현동 우정양곱창,1921750340,https://pcmap.place.naver.com/restaurant/1921750340/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,0,,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""우정양곱창곱창,막창,양"", ""candidate_address"": """", ""place_id"": ""1921750340"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1921750340/home"", ""detail_name"": ""우정양곱창곱창,막창,양"", ""detail_road_address"": ""서울 강남구 도산대로30길 23 1층 우정양곱창"", ""detail_jibun_address"": ""서울 강남구 논현동 67-11"", ""normalized_source_name"": ""우정양곱창"", ""normalized_detail_name"": ""우정양곱창곱창막창양"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울시강남구도산대로30길231층"", ""normalized_detail_road_address"": ""서울강남구도산대로30길231층우정양곱창"", ""normalized_detail_jibun_address"": ""서울강남구논현동6711"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""QWEN_NO_MATCH"", ""semantic_decision"": ""NO_MATCH"", ""semantic_reason"": ""주소의 핵심 정보(도로명, 건물번호, 층)는 일치하지만, 건물명이 추가되어 주소의 핵심 동일성 증거가 부족하며, 이름과 카테고리가 명확히 다름"", ""fatal_veto"": """"}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,110796
9631,"오늘, 와인한잔","서울특별시 강남구 봉은사로1길 33, 1층 (논현동) 오늘, 와인한잔","논현동 오늘, 와인한잔",1625089699,https://pcmap.place.naver.com/restaurant/1625089699/home,RESOLVED,PARTIAL,QWEN,True,LOW,"1,0",1,1,2,2,2,"[{""rank"": 1, ""candidate_name"": ""오늘와인한잔 논현점와인"", ""candidate_address"": """", ""place_id"": ""1625089699"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1625089699/home"", ""detail_name"": ""오늘와인한잔 논현점와인"", ""detail_road_address"": ""서울 강남구 봉은사로1길 33 논현빌딩 1층 오늘와인한잔"", ""detail_jibun_address"": ""서울 강남구 논현동 165-13"", ""normalized_source_name"": ""오늘와인한잔"", ""normalized_detail_name"": ""오늘와인한잔논현점와인"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구봉은사로1길331층논현동오늘와인한잔"", ""normalized_detail_road_address"": ""서울강남구봉은사로1길33논현빌딩1층오늘와인한잔"", ""normalized_detail_jibun_address"": ""서울강남구논현동16513"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""주소의 핵심 요소인 '서울 강남구 봉은사로1길 33'이 동일하며, '논현동'과 '논현빌딩 1층'은 동일한 위치를 나타내는 정보로, 실제 같은 사업장으로 판단됨. 이름은 '오늘, 와인한잔'과 '오늘와인한잔 논현점와인'으로 표현이 다소 차이가 있으나, 주소의 일치와 위치의 일치를 바탕으로 MATCH로 판단함."", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,18,18,True,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,15,10,10,,PARTIAL,,NOT_ATTEMPTED,,26783
9643,반포식스선정릉역점,서울시 강남구 선릉로 603 2층,논현동 반포식스선정릉역점,35781732,https://pcmap.place.naver.com/restaurant/35781732/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,0,1,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""반포식스 선정릉역점"", ""candidate_address"": """", ""place_id"": ""35781732"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/35781732/home"", ""detail_name"": ""반포식스 선정릉역점"", ""detail_road_address"": ""서울 강남구 선릉로 603 2층"", ""detail_jibun_address"": ""서울 강남구 논현동 278-7"", ""normalized_source_name"": ""반포식스선정릉역점"", ""normalized_detail_name"": ""반포식스선정릉역점"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울시강남구선릉로6032층"", ""normalized_detail_road_address"": ""서울강남구선릉로6032층"", ""normalized_detail_jibun_address"": ""서울강남구논현동2787"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""주소의 핵심 요소(시·구·도로명·건물번호·층)가 완전히 일치하며, '반포식스'라는 브랜드명도 일치합니다. 도로명/지번 표현 차이와 좌표 정보 부재는 주소의 핵심 위치가 동일함을 인정할 수 있는 범위 내에 있습니다. 따라서 실제 같은 사업장으로 판단합니다."", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,41,False,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,15,13,10,,PARTIAL,,NOT_ATTEMPTED,,21318
9654,지리산,서울특별시 강남구 학동로43길 7 (논현동) 지상,논현동 지리산,36004008,https://pcmap.place.naver.com/restaurant/36004008/home,RESOLVED,SUCCESS,QWEN,True,LOW,"0,1",1,1,3,2,2,"[{""rank"": 1, ""candidate_name"": ""지리산한식"", ""candidate_address"": """", ""place_id"": ""36004008"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/36004008/home"", ""detail_name"": ""지리산한식"", ""detail_road_address"": ""서울 강남구 학동로43길 7"", ""detail_jibun_address"": ""서울 강남구 논현동 115-6"", ""normalized_source_name"": ""지리산"", ""normalized_detail_name"": ""지리산한식"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구학동로43길7논현동지상"", ""normalized_detail_road_address"": ""서울강남구학동로43길7"", ""normalized_detail_jibun_address"": ""서울강남구논현동1156"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT"", ""semantic_decision"": ""MATCH"", ""semantic_reason"": ""주소의 핵심 요소인 '서울 강남구 학동로43길 7'이 완전히 일치하며, 도로명과 건물번호는 동일하고, 동(논현동)도 일치합니다. 업종은 '지리산한식'으로 지리산 브랜드와 관련이 있으며, 주소의 핵심 위치가 동일하므로 MATCH로 판단합니다. 다만 좌표 정보가 누락되어 정확한 위치 확인은 어렵습니다."", ""fatal_veto"": """"}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,4,4,True,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,10,10,,SUCCESS,,NOT_ATTEMPTED,,21197
