restaurant_id,status,place_id,updated_at,reason
9559,AMBIGUOUS,269479759,2026-09-21T04:50:09,TOP_K_DETAIL_VALIDATION_FAILED
9571,RESOLVED,34489494,2026-09-21T04:50:40,
9583,AMBIGUOUS,1806255012,2026-09-21T04:51:42,TOP_K_DETAIL_VALIDATION_FAILED
9594,RESOLVED,1098991712,2026-09-21T04:52:16,
9606,NOT_FOUND,,2026-09-21T04:52:29,PLACE_ID_MISSING
9617,NOT_FOUND,,2026-09-21T04:52:45,NO_SEARCH_RESULT
9619,RESOLVED,1921750340,2026-09-21T04:53:14,
9631,RESOLVED,1625089699,2026-09-21T04:53:48,
9643,RESOLVED,35781732,2026-09-21T04:54:15,
9654,AMBIGUOUS,11857825,2026-09-21T04:56:59,TOP_K_DETAIL_VALIDATION_FAILED
9666,RESOLVED,1274117863,2026-09-21T04:57:25,
9678,AMBIGUOUS,1405281929,2026-09-21T05:00:15,NO_MATCH
9690,RESOLVED,20601226,2026-09-21T05:00:44,
9701,AMBIGUOUS,21370257,2026-09-21T05:02:04,NO_MATCH
9713,AMBIGUOUS,454965927,2026-09-21T05:03:36,NO_MATCH
9722,NOT_FOUND,,2026-09-21T05:03:49,NO_SEARCH_RESULT
9726,AMBIGUOUS,1541547868,2026-09-21T05:04:20,NO_MATCH
9738,RESOLVED,296551154,2026-09-21T05:05:00,
9750,AMBIGUOUS,11674073,2026-09-21T05:05:59,NO_MATCH
9761,AMBIGUOUS,1313653997,2026-09-21T05:06:40,NO_MATCH
9763,RESOLVED,1627399744,2026-09-21T05:07:36,
9772,NOT_FOUND,,2026-09-21T05:07:49,PLACE_ID_MISSING
9775,RESOLVED,38276825,2026-09-21T05:08:17,
9787,AMBIGUOUS,1155739413,2026-09-21T05:09:59,NO_MATCH
9799,RESOLVED,1160452164,2026-09-21T05:10:25,
9807,NOT_FOUND,,2026-09-21T05:10:40,NO_SEARCH_RESULT
9812,RESOLVED,1079116414,2026-09-21T05:11:12,
9823,RESOLVED,13156287,2026-09-21T05:11:43,
9835,RESOLVED,18509081,2026-09-21T05:12:16,
9847,RESOLVED,33252316,2026-09-21T05:13:01,
9859,NOT_FOUND,,2026-09-21T05:13:14,NO_SEARCH_RESULT
9871,AMBIGUOUS,2029361913,2026-09-21T05:16:33,TOP_K_DETAIL_VALIDATION_FAILED
9882,AMBIGUOUS,804859278,2026-09-21T05:18:57,TOP_K_DETAIL_VALIDATION_FAILED
9894,RESOLVED,37815174,2026-09-21T05:19:24,
9906,ERROR,1135075588,2026-09-21T05:21:41,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
9918,RESOLVED,103557699,2026-09-21T05:22:04,
9930,AMBIGUOUS,1946818857,2026-09-21T05:22:52,TOP_K_DETAIL_VALIDATION_FAILED
9941,RESOLVED,1085849913,2026-09-21T05:23:23,
9953,RESOLVED,1089646956,2026-09-21T05:23:53,
9965,AMBIGUOUS,2039931953,2026-09-21T05:25:47,NO_MATCH
9977,RESOLVED,13505971,2026-09-21T05:26:19,
9988,RESOLVED,1138320397,2026-09-21T05:26:49,
10000,AMBIGUOUS,1277135466,2026-09-21T05:27:38,NO_MATCH
10012,RESOLVED,1311241822,2026-09-21T05:28:09,
10024,AMBIGUOUS,1883061299,2026-09-21T05:31:01,TOP_K_DETAIL_VALIDATION_FAILED
10036,RESOLVED,20897287,2026-09-21T05:31:33,
10047,AMBIGUOUS,2060488386,2026-09-21T05:33:24,NO_MATCH
10059,AMBIGUOUS,1840116313,2026-09-21T05:34:20,NO_MATCH
10064,AMBIGUOUS,20898172,2026-09-21T05:35:11,NO_MATCH
10072,AMBIGUOUS,1451543155,2026-09-21T05:36:58,TOP_K_DETAIL_VALIDATION_FAILED
