restaurant_id,komsco_name,komsco_address,previous_naver_status,naver_matched_external_name,naver_matched_address,naver_matched_road_address,query,place_id,place_url,resolve_status,detail_status,matcher_source,qwen_used,qwen_confidence,naver_db_fallback_available,qwen_ranking,resolved_rank,detail_validation_attempts,validation_attempts_json,detail_access_method,http_result,playwright_result,menu_count,parsed_menu_count,menu_complete,menu_fallback_used,home_status,hours_status,menu_status,review_status,review_requested,review_count,review_keyword_count,review_menu_mention_count,review_theme_count,representative_review_count,detail_warnings,result,reason,elapsed_ms
4348,이치진,서울특별시 강남구 논현로18길 15 101호 심야오뎅 이치진,MATCHED,,,,매봉역 이치진,1310475948,https://pcmap.place.naver.com/restaurant/1310475948/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""이치진 강남개포점"", ""candidate_address"": """", ""place_id"": ""1310475948"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1310475948/home"", ""detail_name"": ""이치진 강남개포점"", ""detail_road_address"": ""서울 강남구 논현로18길 15 1층 이치진"", ""detail_jibun_address"": ""서울 강남구 개포동 1237-16"", ""normalized_source_name"": ""이치진"", ""normalized_detail_name"": ""이치진강남개포점"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구논현로18길15101호심야오뎅이치진"", ""normalized_detail_road_address"": ""서울강남구논현로18길151층이치진"", ""normalized_detail_jibun_address"": ""서울강남구개포동123716"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,12,False,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,15,10,10,,PARTIAL,,10119
4358,대청만찬,서울특별시 강남구 개포로 623 (개포동) 지하,MATCHED,대청만찬,서울특별시 강남구 개포동 13-3,서울특별시 강남구 개포로 623,개포동 대청만찬,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,True,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,CANDIDATE_PLACE_ID_MISSING,2948
4360,춘천닭갈비,서울시 강남구 선릉로8길 5 지상1층-102(개포동)A,MATCHED,김의영의 춘천닭갈비,서울특별시 강남구 개포동 166-4 102호,서울특별시 강남구 선릉로8길 5 102호,구룡역 춘천닭갈비,36883812,https://pcmap.place.naver.com/restaurant/36883812/home,RESOLVED,PARTIAL,QWEN,True,LOW,True,"0,1",1,1,"[{""rank"": 1, ""candidate_name"": ""김의영의 춘천닭갈비닭갈비"", ""candidate_address"": """", ""place_id"": ""36883812"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/36883812/home"", ""detail_name"": ""김의영의 춘천닭갈비닭갈비"", ""detail_road_address"": ""서울 강남구 선릉로8길 5 102호"", ""detail_jibun_address"": ""서울 강남구 개포동 166-4"", ""normalized_source_name"": ""춘천닭갈비"", ""normalized_detail_name"": ""김의영의춘천닭갈비닭갈비"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울시강남구선릉로8길5지상1층102개포동a"", ""normalized_detail_road_address"": ""서울강남구선릉로8길5102호"", ""normalized_detail_jibun_address"": ""서울강남구개포동1664"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,33,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,9,9,10,,PARTIAL,,10409
4367,맛찬,"서울시 강남구 개포로 615 석탑프라자 지하1층 106,107호",MATCHED,맛찬,서울특별시 강남구 개포동 12-4,서울특별시 강남구 개포로 615,대모산입구역 맛찬,1558499234,https://pcmap.place.naver.com/restaurant/1558499234/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""맛찬한식"", ""candidate_address"": """", ""place_id"": ""1558499234"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1558499234/home"", ""detail_name"": ""맛찬한식"", ""detail_road_address"": ""서울 강남구 개포로 615"", ""detail_jibun_address"": ""서울 강남구 개포동 12-4"", ""normalized_source_name"": ""맛찬"", ""normalized_detail_name"": ""맛찬한식"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울시강남구개포로615석탑프라자지하1층106107호"", ""normalized_detail_road_address"": ""서울강남구개포로615"", ""normalized_detail_jibun_address"": ""서울강남구개포동124"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,13,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,8,10,,PARTIAL,,9931
4374,봉평메밀 막국수,서울 강남구 개포로82길 5-8 1층 1호,MATCHED,,,,개포동역 봉평메밀 막국수,1203242428,https://pcmap.place.naver.com/restaurant/1203242428/home,RESOLVED,PARTIAL,QWEN,True,LOW,True,"0,2,1",1,1,"[{""rank"": 1, ""candidate_name"": ""개포시장 봉평메밀막국수 칼국수막국수"", ""candidate_address"": """", ""place_id"": ""1203242428"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1203242428/home"", ""detail_name"": ""개포시장 봉평메밀막국수 칼국수막국수"", ""detail_road_address"": ""서울 강남구 개포로82길 5-8"", ""detail_jibun_address"": ""서울 강남구 개포동 186-11"", ""normalized_source_name"": ""봉평메밀막국수"", ""normalized_detail_name"": ""개포시장봉평메밀막국수칼국수막국수"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울강남구개포로82길581층1호"", ""normalized_detail_road_address"": ""서울강남구개포로82길58"", ""normalized_detail_jibun_address"": ""서울강남구개포동18611"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,16,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,7,10,,PARTIAL,,10030
4466,은율네,"서울시 강남구 언주로 110 지하1층7,8호(개포동, 경남2차 상가)",MATCHED,은율네,"서울특별시 강남구 개포동 649 지하1층7,8호(, 경남2차 상가)","서울특별시 강남구 언주로 110 지하1층7,8호(개포동, 경남2차 상가)",개포동 은율네,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,True,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,CANDIDATE_PLACE_ID_MISSING,3048
4494,오븐데이개포점,서울특별시 강남구 논현로10길 29 (개포동) 1층 오븐데이,MATCHED,,,,매봉역 오븐데이개포점,34465978,https://pcmap.place.naver.com/restaurant/34465978/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,True,0,1,1,"[{""rank"": 1, ""candidate_name"": ""오븐데이 개포점치킨,닭강정"", ""candidate_address"": """", ""place_id"": ""34465978"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/34465978/home"", ""detail_name"": ""오븐데이 개포점치킨,닭강정"", ""detail_road_address"": ""서울 강남구 논현로10길 29 강남친환경식품유통센터"", ""detail_jibun_address"": ""서울 강남구 개포동 1197-2"", ""normalized_source_name"": ""오븐데이개포점"", ""normalized_detail_name"": ""오븐데이개포점치킨닭강정"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구논현로10길29개포동1층오븐데이"", ""normalized_detail_road_address"": ""서울강남구논현로10길29강남친환경식품유통센터"", ""normalized_detail_jibun_address"": ""서울강남구개포동11972"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,0,False,False,SUCCESS,NO_DATA,NO_DATA,SUCCESS,True,10,10,15,12,10,,PARTIAL,,13287
4507,coffee the juda,서울특별시 강남구 개포로30길 13(개포동) 지상 1층,MATCHED,coffee the juda,서울특별시 강남구 개포동 1213-4,서울특별시 강남구 개포로30길 13,개포동 coffee the juda,1512256507,https://pcmap.place.naver.com/restaurant/1512256507/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,True,0,,1,"[{""rank"": 1, ""candidate_name"": ""커피더주다카페"", ""candidate_address"": """", ""place_id"": ""1512256507"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1512256507/home"", ""detail_name"": ""커피더주다카페"", ""detail_road_address"": ""서울 강남구 개포로30길 13 지상1층"", ""detail_jibun_address"": ""서울 강남구 개포동 1213-4"", ""normalized_source_name"": ""coffeethejuda"", ""normalized_detail_name"": ""커피더주다카페"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구개포로30길13개포동지상1층"", ""normalized_detail_road_address"": ""서울강남구개포로30길13지상1층"", ""normalized_detail_jibun_address"": ""서울강남구개포동12134"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""NAME_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,8042
4546,리엔,서울특별시 강남구 개포로28길 9 (개포동) 태봉빌딩 1층,MATCHED,,,,매봉역 리엔,179387776,https://pcmap.place.naver.com/restaurant/179387776/home,RESOLVED,PARTIAL,QWEN,True,LOW,True,"1,0,2",1,1,"[{""rank"": 1, ""candidate_name"": ""리엔중식당"", ""candidate_address"": """", ""place_id"": ""179387776"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/179387776/home"", ""detail_name"": ""리엔중식당"", ""detail_road_address"": ""서울 강남구 개포로28길 9"", ""detail_jibun_address"": ""서울 강남구 개포동 1214-1"", ""normalized_source_name"": ""리엔"", ""normalized_detail_name"": ""리엔중식당"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구개포로28길9개포동태봉빌딩1층"", ""normalized_detail_road_address"": ""서울강남구개포로28길9"", ""normalized_detail_jibun_address"": ""서울강남구개포동12141"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,6,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,13,10,,PARTIAL,,10242
4570,불닭발동대문엽기떡볶이 개포동역점,서울특별시 강남구 개포로 506 (개포동) 1층 103호,MATCHED,,,,개포동 불닭발동대문엽기떡볶이 개포동역점,36601251,https://pcmap.place.naver.com/restaurant/36601251/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,True,0,,1,"[{""rank"": 1, ""candidate_name"": ""동대문엽기떡볶이 개포동역점분식"", ""candidate_address"": """", ""place_id"": ""36601251"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/36601251/home"", ""detail_name"": ""동대문엽기떡볶이 개포동역점분식"", ""detail_road_address"": ""서울 강남구 개포로 506 청우빌딩 103호"", ""detail_jibun_address"": ""서울 강남구 개포동 186-14"", ""normalized_source_name"": ""불닭발동대문엽기떡볶이개포동역점"", ""normalized_detail_name"": ""동대문엽기떡볶이개포동역점분식"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구개포로506개포동1층103호"", ""normalized_detail_road_address"": ""서울강남구개포로506청우빌딩103호"", ""normalized_detail_jibun_address"": ""서울강남구개포동18614"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""NAME_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,8115
