restaurant_id,status,place_id,updated_at,reason
7549,ERROR,19786892,2026-09-21T01:18:37,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7553,ERROR,18396275,2026-09-21T01:21:11,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7554,ERROR,2081164237,2026-09-21T01:21:58,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
7557,RESOLVED,20889368,2026-09-21T01:22:18,
7562,RESOLVED,1034953698,2026-09-21T01:22:38,
7566,RESOLVED,61244505,2026-09-21T01:23:10,
7568,RESOLVED,1743063426,2026-09-21T01:24:07,
7573,NOT_FOUND,,2026-09-21T01:24:20,NO_VALID_CANDIDATE
7876,ERROR,2031787187,2026-09-21T01:25:36,QWEN_SEMANTIC_FAILURE;Qwen semantic response failed after one retry
8365,NOT_FOUND,,2026-09-21T01:25:49,CANDIDATE_PLACE_ID_MISSING
7563,RESOLVED,1881406968,2026-09-21T01:26:45,
7721,NOT_FOUND,,2026-09-21T01:26:58,NO_VALID_CANDIDATE
7759,NOT_FOUND,,2026-09-21T01:27:11,CANDIDATE_PLACE_ID_MISSING
7552,RESOLVED,1777700241,2026-09-21T01:28:07,
7564,RESOLVED,1531219789,2026-09-21T01:29:15,
7565,RESOLVED,2043178289,2026-09-21T01:29:35,
7567,NOT_FOUND,,2026-09-21T01:29:48,NO_VALID_CANDIDATE
