restaurant_id,komsco_name,komsco_address,query,place_id,place_url,resolve_status,detail_status,matcher_source,qwen_used,qwen_confidence,qwen_ranking,resolved_rank,detail_validation_attempts,candidate_count_before_filter,candidate_count_after_filter,qwen_pool_count,validation_attempts_json,detail_access_method,http_result,playwright_result,menu_count,parsed_menu_count,menu_complete,menu_fallback_used,home_status,hours_status,menu_status,review_status,review_requested,review_count,review_keyword_count,review_menu_mention_count,review_theme_count,representative_review_count,detail_warnings,result,reason,persistence_status,persistence_error,elapsed_ms
7549,튤립,서울특별시 강남구 언주로149길 12 지하층,논현동 튤립,37559010,https://pcmap.place.naver.com/restaurant/37559010/home,AMBIGUOUS,NOT_ATTEMPTED,QWEN,True,LOW,"0,1,2",,3,3,3,3,"[{""rank"": 1, ""candidate_name"": ""명품세탁 튤립크리닝세탁소"", ""candidate_address"": """", ""place_id"": ""19786892"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/19786892/home"", ""detail_name"": ""명품세탁 튤립크리닝세탁소"", ""detail_road_address"": ""서울 강남구 논현로146길 43 1층 튤립크리닝"", ""detail_jibun_address"": ""서울 강남구 논현동 68-23"", ""normalized_source_name"": ""튤립"", ""normalized_detail_name"": ""명품세탁튤립크리닝세탁소"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구언주로149길12지하층"", ""normalized_detail_road_address"": ""서울강남구논현로146길431층튤립크리닝"", ""normalized_detail_jibun_address"": ""서울강남구논현동6823"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}, {""rank"": 2, ""candidate_name"": ""장미꽃닭발야식"", ""candidate_address"": """", ""place_id"": ""1854297999"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1854297999/home"", ""detail_name"": ""장미꽃닭발야식"", ""detail_road_address"": ""서울 서초구 서운로 138 서초동아타워 지하1층 주방7호"", ""detail_jibun_address"": ""서울 서초구 서초동 1321-6 아타워 지하1층 주방7호"", ""normalized_source_name"": ""튤립"", ""normalized_detail_name"": ""장미꽃닭발야식"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구언주로149길12지하층"", ""normalized_detail_road_address"": ""서울서초구서운로138서초동아타워지하1층주방7호"", ""normalized_detail_jibun_address"": ""서울서초구서초동13216아타워지하1층주방7호"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 3, ""candidate_name"": ""바이레도 갤러리아 명품관향수"", ""candidate_address"": """", ""place_id"": ""37559010"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/37559010/home"", ""detail_name"": ""바이레도 갤러리아 명품관향수"", ""detail_road_address"": ""서울 강남구 압구정로 343 갤러리아 명품관 west 1층"", ""detail_jibun_address"": ""서울 강남구 압구정동 494"", ""normalized_source_name"": ""튤립"", ""normalized_detail_name"": ""바이레도갤러리아명품관향수"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구언주로149길12지하층"", ""normalized_detail_road_address"": ""서울강남구압구정로343갤러리아명품관west1층"", ""normalized_detail_jibun_address"": ""서울강남구압구정동494"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,26262
7553,부산집,서울특별시 강남구 강남대로150길 10 (논현동) 1층,논현동 부산집,11678788,https://pcmap.place.naver.com/restaurant/11678788/home,AMBIGUOUS,NOT_ATTEMPTED,QWEN,True,LOW,"4,2,5,6,0",,5,9,8,8,"[{""rank"": 1, ""candidate_name"": ""부산아구찜"", ""candidate_address"": """", ""place_id"": ""1949747652"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1949747652/home"", ""detail_name"": ""부산아구찜"", ""detail_road_address"": ""서울 서초구 사평대로55길 42"", ""detail_jibun_address"": ""서울 서초구 반포동 738"", ""normalized_source_name"": ""부산집"", ""normalized_detail_name"": ""부산아구찜"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구강남대로150길10논현동1층"", ""normalized_detail_road_address"": ""서울서초구사평대로55길42"", ""normalized_detail_jibun_address"": ""서울서초구반포동738"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 2, ""candidate_name"": ""부산삼정한정식"", ""candidate_address"": """", ""place_id"": ""18396275"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/18396275/home"", ""detail_name"": ""부산삼정한정식"", ""detail_road_address"": ""서울 강남구 테헤란로7길 8 IBC오피스텔 1층"", ""detail_jibun_address"": ""서울 강남구 역삼동 648-1"", ""normalized_source_name"": ""부산집"", ""normalized_detail_name"": ""부산삼정한정식"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구강남대로150길10논현동1층"", ""normalized_detail_road_address"": ""서울강남구테헤란로7길8ibc오피스텔1층"", ""normalized_detail_jibun_address"": ""서울강남구역삼동6481"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 3, ""candidate_name"": ""부산아지매국밥 GS타워점국밥"", ""candidate_address"": """", ""place_id"": ""32537485"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/32537485/home"", ""detail_name"": ""부산아지매국밥 GS타워점국밥"", ""detail_road_address"": ""서울 강남구 테헤란로27길 26"", ""detail_jibun_address"": ""서울 강남구 역삼동 670-15"", ""normalized_source_name"": ""부산집"", ""normalized_detail_name"": ""부산아지매국밥gs타워점국밥"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구강남대로150길10논현동1층"", ""normalized_detail_road_address"": ""서울강남구테헤란로27길26"", ""normalized_detail_jibun_address"": ""서울강남구역삼동67015"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 4, ""candidate_name"": ""부산아지매국밥 역삼점"", ""candidate_address"": """", ""place_id"": ""37797403"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/37797403/home"", ""detail_name"": ""부산아지매국밥 역삼점"", ""detail_road_address"": ""서울 강남구 논현로85길 5-3 청도빌딩 1층"", ""detail_jibun_address"": ""서울 강남구 역삼동 738-10"", ""normalized_source_name"": ""부산집"", ""normalized_detail_name"": ""부산아지매국밥역삼점"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구강남대로150길10논현동1층"", ""normalized_detail_road_address"": ""서울강남구논현로85길53청도빌딩1층"", ""normalized_detail_jibun_address"": ""서울강남구역삼동73810"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 5, ""candidate_name"": ""부산아구아귀찜,해물찜"", ""candidate_address"": """", ""place_id"": ""11678788"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/11678788/home"", ""detail_name"": ""부산아구아귀찜,해물찜"", ""detail_road_address"": ""서울 강남구 강남대로150길 10"", ""detail_jibun_address"": ""서울 강남구 논현동 16-1"", ""normalized_source_name"": ""부산집"", ""normalized_detail_name"": ""부산아구아귀찜해물찜"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구강남대로150길10논현동1층"", ""normalized_detail_road_address"": ""서울강남구강남대로150길10"", ""normalized_detail_jibun_address"": ""서울강남구논현동161"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""NAME_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,33106
7554,제주생선구이 올래밥상,"서울 강남구 논현로 613, 1층 (논현동)",제주생선구이올래밥상,1439186826,https://pcmap.place.naver.com/restaurant/1439186826/home,AMBIGUOUS,NOT_ATTEMPTED,QWEN,True,LOW,"0,1,2,3,4",,5,8,7,7,"[{""rank"": 1, ""candidate_name"": ""제주생선구이올래밥상"", ""candidate_address"": """", ""place_id"": ""2081164237"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/2081164237/home"", ""detail_name"": ""제주생선구이올래밥상"", ""detail_road_address"": ""경기 성남시 분당구 내정로165번길 38 602동 2층 215-1호, 215-2호"", ""detail_jibun_address"": ""경기 성남시 분당구 수내동 32"", ""normalized_source_name"": ""제주생선구이올래밥상"", ""normalized_detail_name"": ""제주생선구이올래밥상"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울강남구논현로6131층논현동"", ""normalized_detail_road_address"": ""경기성남시분당구내정로165번길38602동2층2151호2152호"", ""normalized_detail_jibun_address"": ""경기성남시분당구수내동32"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}, {""rank"": 2, ""candidate_name"": ""제주생선구이올래밥상 여의도직영점생선구이"", ""candidate_address"": """", ""place_id"": ""1318639397"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1318639397/home"", ""detail_name"": ""제주생선구이올래밥상 여의도직영점생선구이"", ""detail_road_address"": ""서울 영등포구 여의대방로69길 28 2층 208호, 210호"", ""detail_jibun_address"": ""서울 영등포구 여의도동 43-1"", ""normalized_source_name"": ""제주생선구이올래밥상"", ""normalized_detail_name"": ""제주생선구이올래밥상여의도직영점생선구이"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울강남구논현로6131층논현동"", ""normalized_detail_road_address"": ""서울영등포구여의대방로69길282층208호210호"", ""normalized_detail_jibun_address"": ""서울영등포구여의도동431"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}, {""rank"": 3, ""candidate_name"": ""제주생선구이 올래밥상 사당점"", ""candidate_address"": """", ""place_id"": ""1437963885"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1437963885/home"", ""detail_name"": ""제주생선구이 올래밥상 사당점"", ""detail_road_address"": ""서울 관악구 남현1길 40 지하 1층"", ""detail_jibun_address"": ""서울 관악구 남현동 1062-1"", ""normalized_source_name"": ""제주생선구이올래밥상"", ""normalized_detail_name"": ""제주생선구이올래밥상사당점"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울강남구논현로6131층논현동"", ""normalized_detail_road_address"": ""서울관악구남현1길40지하1층"", ""normalized_detail_jibun_address"": ""서울관악구남현동10621"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}, {""rank"": 4, ""candidate_name"": ""제주생선구이올래밥상 고삼호수휴게소점생선구이"", ""candidate_address"": """", ""place_id"": ""2029727267"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/2029727267/home"", ""detail_name"": ""제주생선구이올래밥상 고삼호수휴게소점생선구이"", ""detail_road_address"": ""경기 안성시 고삼면 봉산리 산11-9"", ""detail_jibun_address"": ""경기 안성시 고삼면 봉산리 산11-9"", ""normalized_source_name"": ""제주생선구이올래밥상"", ""normalized_detail_name"": ""제주생선구이올래밥상고삼호수휴게소점생선구이"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울강남구논현로6131층논현동"", ""normalized_detail_road_address"": ""경기안성시고삼면봉산리산119"", ""normalized_detail_jibun_address"": ""경기안성시고삼면봉산리산119"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""DETAIL_ADDRESS_PARSE_SUSPECT""}, {""rank"": 5, ""candidate_name"": ""올래밥상 제주생선구이생선구이"", ""candidate_address"": """", ""place_id"": ""1439186826"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1439186826/home"", ""detail_name"": ""올래밥상 제주생선구이생선구이"", ""detail_road_address"": ""전북 익산시 선화로1길 109-26 1층 올래밥상 제주생선구이"", ""detail_jibun_address"": ""전북 익산시 모현동2가 640"", ""normalized_source_name"": ""제주생선구이올래밥상"", ""normalized_detail_name"": ""올래밥상제주생선구이생선구이"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울강남구논현로6131층논현동"", ""normalized_detail_road_address"": ""전북익산시선화로1길109261층올래밥상제주생선구이"", ""normalized_detail_jibun_address"": ""전북익산시모현동2가640"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,20710
7557,부대찌개매니아 돈돌,서울특별시 강남구 선릉로129길 11 논현동242-18 2층  부대찌개매니아돈돌,논현동 부대찌개매니아 돈돌,20889368,https://pcmap.place.naver.com/restaurant/20889368/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,0,1,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""돈돌 부대찌개 매니아 강남구청점찌개,전골"", ""candidate_address"": """", ""place_id"": ""20889368"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/20889368/home"", ""detail_name"": ""돈돌 부대찌개 매니아 강남구청점찌개,전골"", ""detail_road_address"": ""서울 강남구 선릉로129길 11 논현동242-18 2층"", ""detail_jibun_address"": ""서울 강남구 논현동 242-18 242-18 2층"", ""normalized_source_name"": ""부대찌개매니아돈돌"", ""normalized_detail_name"": ""돈돌부대찌개매니아강남구청점찌개전골"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구선릉로129길11논현동242182층부대찌개매니아돈돌"", ""normalized_detail_road_address"": ""서울강남구선릉로129길11논현동242182층"", ""normalized_detail_jibun_address"": ""서울강남구논현동24218242182층"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,0,False,False,SUCCESS,NO_DATA,NO_DATA,SUCCESS,True,10,10,13,9,10,,PARTIAL,,SUCCESS,,13165
7562,하나마토 논현점,"서울 강남구 학동로2길 31, 1층 (논현동)",논현동 하나마토 논현점,1034953698,https://pcmap.place.naver.com/restaurant/1034953698/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,0,,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""하나마토 신논현"", ""candidate_address"": """", ""place_id"": ""1034953698"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1034953698/home"", ""detail_name"": ""하나마토 신논현"", ""detail_road_address"": ""서울 강남구 학동로2길 31 1층"", ""detail_jibun_address"": ""서울 강남구 논현동 144-3"", ""normalized_source_name"": ""하나마토논현점"", ""normalized_detail_name"": ""하나마토신논현"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울강남구학동로2길311층논현동"", ""normalized_detail_road_address"": ""서울강남구학동로2길311층"", ""normalized_detail_jibun_address"": ""서울강남구논현동1443"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""NAME_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,25619
7566,60년전통 신촌황소곱창(논현점),"서울 강남구 봉은사로1길 37, 지상 1층 (논현동, 호서빌딩) 60년 전통 신촌 황소곱창",논현동 60년전통 신촌황소곱창(논현점),61244505,https://pcmap.place.naver.com/restaurant/61244505/home,RESOLVED,PARTIAL,QWEN,True,HIGH,"2,0,1",1,1,3,3,3,"[{""rank"": 1, ""candidate_name"": ""60년전통 신촌황소곱창 논현직영점곱창,막창,양"", ""candidate_address"": """", ""place_id"": ""61244505"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/61244505/home"", ""detail_name"": ""60년전통 신촌황소곱창 논현직영점곱창,막창,양"", ""detail_road_address"": ""서울 강남구 봉은사로1길 37 지상1층"", ""detail_jibun_address"": ""서울 강남구 논현동 165-16"", ""normalized_source_name"": ""60년전통신촌황소곱창논현점"", ""normalized_detail_name"": ""60년전통신촌황소곱창논현직영점곱창막창양"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울강남구봉은사로1길37지상1층논현동호서빌딩60년전통신촌황소곱창"", ""normalized_detail_road_address"": ""서울강남구봉은사로1길37지상1층"", ""normalized_detail_jibun_address"": ""서울강남구논현동16516"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,2,4,True,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,15,12,10,,PARTIAL,,SUCCESS,,11172
7568,완도1957별관,서울특별시 강남구 학동로 338 지상1층s109호,논현동 완도1957별관,1743063426,https://pcmap.place.naver.com/restaurant/1743063426/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,0,1,1,1,1,1,"[{""rank"": 1, ""candidate_name"": ""완도1957 강남구청역점"", ""candidate_address"": ""완도1957 강남구청역점"", ""place_id"": ""1743063426"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1743063426/home"", ""detail_name"": ""완도1957 강남구청역점"", ""detail_road_address"": ""서울 강남구 학동로 338 지상 1층 109호"", ""detail_jibun_address"": ""서울 강남구 논현동 241-1"", ""normalized_source_name"": ""완도1957별관"", ""normalized_detail_name"": ""완도1957강남구청역점"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구학동로338지상1층s109호"", ""normalized_detail_road_address"": ""서울강남구학동로338지상1층109호"", ""normalized_detail_jibun_address"": ""서울강남구논현동2411"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,27,False,False,SUCCESS,SUCCESS,SUCCESS,SUCCESS,True,10,10,15,12,10,,PARTIAL,,SUCCESS,,10121
7573,지알(GR)해마루,서울특별시 강남구 선릉로 623 2층 해마루 도시락 지알(GR) 해마루,논현동 지알(GR)해마루,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,,,0,0,0,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_VALID_CANDIDATE,NOT_ATTEMPTED,,7915
7876,호두당,서울특별시 강남구 도산대로 지하102,호두당,1807902224,https://pcmap.place.naver.com/restaurant/1807902224/home,AMBIGUOUS,NOT_ATTEMPTED,QWEN,True,LOW,"1,0,7,5,4",,5,9,8,8,"[{""rank"": 1, ""candidate_name"": ""호두당 서초역점호두과자"", ""candidate_address"": """", ""place_id"": ""1076248295"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1076248295/home"", ""detail_name"": ""호두당 서초역점호두과자"", ""detail_road_address"": ""서울 서초구 서초대로 233"", ""detail_jibun_address"": ""서울 서초구 서초동 1748-5"", ""normalized_source_name"": ""호두당"", ""normalized_detail_name"": ""호두당서초역점호두과자"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구도산대로지하102"", ""normalized_detail_road_address"": ""서울서초구서초대로233"", ""normalized_detail_jibun_address"": ""서울서초구서초동17485"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}, {""rank"": 2, ""candidate_name"": ""호두당 용인동백점호두과자"", ""candidate_address"": """", ""place_id"": ""1037477810"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1037477810/home"", ""detail_name"": ""호두당 용인동백점호두과자"", ""detail_road_address"": ""경기 용인시 기흥구 동백중앙로 203 미주타운 107호"", ""detail_jibun_address"": ""경기 용인시 기흥구 중동 848-2"", ""normalized_source_name"": ""호두당"", ""normalized_detail_name"": ""호두당용인동백점호두과자"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구도산대로지하102"", ""normalized_detail_road_address"": ""경기용인시기흥구동백중앙로203미주타운107호"", ""normalized_detail_jibun_address"": ""경기용인시기흥구중동8482"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}, {""rank"": 3, ""candidate_name"": ""호두당 서초우면점호두과자"", ""candidate_address"": """", ""place_id"": ""2031787187"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/2031787187/home"", ""detail_name"": ""호두당 서초우면점호두과자"", ""detail_road_address"": """", ""detail_jibun_address"": """", ""normalized_source_name"": ""호두당"", ""normalized_detail_name"": ""호두당서초우면점호두과자"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구도산대로지하102"", ""normalized_detail_road_address"": """", ""normalized_detail_jibun_address"": """", ""address_comparison"": ""UNKNOWN"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""DETAIL_ADDRESS_MISSING""}, {""rank"": 4, ""candidate_name"": ""호두당 수원세류점호두과자"", ""candidate_address"": """", ""place_id"": ""1889493569"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1889493569/home"", ""detail_name"": ""호두당 수원세류점호두과자"", ""detail_road_address"": ""경기 수원시 권선구 세지로 74 1층 호두당 수원세류점"", ""detail_jibun_address"": ""경기 수원시 권선구 권선동 999-4"", ""normalized_source_name"": ""호두당"", ""normalized_detail_name"": ""호두당수원세류점호두과자"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구도산대로지하102"", ""normalized_detail_road_address"": ""경기수원시권선구세지로741층호두당수원세류점"", ""normalized_detail_jibun_address"": ""경기수원시권선구권선동9994"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}, {""rank"": 5, ""candidate_name"": ""호두당 구로디지털점호두과자"", ""candidate_address"": """", ""place_id"": ""1807902224"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1807902224/home"", ""detail_name"": ""호두당 구로디지털점호두과자"", ""detail_road_address"": ""서울 구로구 시흥대로163길 33 주호타워 1층 107호"", ""detail_jibun_address"": ""서울 구로구 구로동 1129-1"", ""normalized_source_name"": ""호두당"", ""normalized_detail_name"": ""호두당구로디지털점호두과자"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구도산대로지하102"", ""normalized_detail_road_address"": ""서울구로구시흥대로163길33주호타워1층107호"", ""normalized_detail_jibun_address"": ""서울구로구구로동11291"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,18037
8365,핫브레드 논현역점,서울특별시 강남구 학동로 지하102,논현동 핫브레드 논현역점,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,,,0,1,0,1,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,CANDIDATE_PLACE_ID_MISSING,NOT_ATTEMPTED,,8256
