restaurant_id,komsco_name,komsco_address,query,place_id,place_url,resolve_status,detail_status,matcher_source,qwen_used,qwen_confidence,qwen_ranking,resolved_rank,detail_validation_attempts,validation_attempts_json,detail_access_method,http_result,playwright_result,menu_count,parsed_menu_count,menu_complete,menu_fallback_used,home_status,hours_status,menu_status,review_status,review_requested,review_count,review_keyword_count,review_menu_mention_count,review_theme_count,representative_review_count,detail_warnings,result,reason,persistence_status,persistence_error,elapsed_ms
7548,(주)상해루,"서울 강남구 강남대로 512, 지하1층 (논현동)",논현동 (주)상해루,1998347538,https://pcmap.place.naver.com/restaurant/1998347538/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,0,,1,"[{""rank"": 1, ""candidate_name"": ""상해루중식당"", ""candidate_address"": """", ""place_id"": ""1998347538"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1998347538/home"", ""detail_name"": ""상해루중식당"", ""detail_road_address"": ""서울 강남구 강남대로 512 지하1층 상해루"", ""detail_jibun_address"": ""서울 강남구 논현동 164-7"", ""normalized_source_name"": ""주상해루"", ""normalized_detail_name"": ""상해루중식당"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울강남구강남대로512지하1층논현동"", ""normalized_detail_road_address"": ""서울강남구강남대로512지하1층상해루"", ""normalized_detail_jibun_address"": ""서울강남구논현동1647"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""NAME_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,3083
7549,튤립,서울특별시 강남구 언주로149길 12 지하층,논현동 튤립,37559010,https://pcmap.place.naver.com/restaurant/37559010/home,AMBIGUOUS,NOT_ATTEMPTED,QWEN,True,LOW,"0,1,2",,3,"[{""rank"": 1, ""candidate_name"": ""명품세탁 튤립크리닝세탁소"", ""candidate_address"": """", ""place_id"": ""19786892"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/19786892/home"", ""detail_name"": ""명품세탁 튤립크리닝세탁소"", ""detail_road_address"": ""서울 강남구 논현로146길 43 1층 튤립크리닝"", ""detail_jibun_address"": ""서울 강남구 논현동 68-23"", ""normalized_source_name"": ""튤립"", ""normalized_detail_name"": ""명품세탁튤립크리닝세탁소"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구언주로149길12지하층"", ""normalized_detail_road_address"": ""서울강남구논현로146길431층튤립크리닝"", ""normalized_detail_jibun_address"": ""서울강남구논현동6823"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""ADDRESS_MISMATCH""}, {""rank"": 2, ""candidate_name"": ""장미꽃닭발야식"", ""candidate_address"": """", ""place_id"": ""1854297999"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1854297999/home"", ""detail_name"": ""장미꽃닭발야식"", ""detail_road_address"": ""서울 서초구 서운로 138 서초동아타워 지하1층 주방7호"", ""detail_jibun_address"": ""서울 서초구 서초동 1321-6 아타워 지하1층 주방7호"", ""normalized_source_name"": ""튤립"", ""normalized_detail_name"": ""장미꽃닭발야식"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구언주로149길12지하층"", ""normalized_detail_road_address"": ""서울서초구서운로138서초동아타워지하1층주방7호"", ""normalized_detail_jibun_address"": ""서울서초구서초동13216아타워지하1층주방7호"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 3, ""candidate_name"": ""바이레도 갤러리아 명품관향수"", ""candidate_address"": """", ""place_id"": ""37559010"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/37559010/home"", ""detail_name"": ""바이레도 갤러리아 명품관향수"", ""detail_road_address"": ""서울 강남구 압구정로 343 갤러리아 명품관 west 1층"", ""detail_jibun_address"": ""서울 강남구 압구정동 494"", ""normalized_source_name"": ""튤립"", ""normalized_detail_name"": ""바이레도갤러리아명품관향수"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구언주로149길12지하층"", ""normalized_detail_road_address"": ""서울강남구압구정로343갤러리아명품관west1층"", ""normalized_detail_jibun_address"": ""서울강남구압구정동494"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,10896
7551,늘봄식품,서울특별시 강남구 언주로150길 24(논현동) 늘봄식품,논현동 늘봄식품,1396257520,https://pcmap.place.naver.com/restaurant/1396257520/home,RESOLVED,PARTIAL,QWEN,True,LOW,"0,1",1,1,"[{""rank"": 1, ""candidate_name"": ""늘봄식품슈퍼,마트"", ""candidate_address"": """", ""place_id"": ""1396257520"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1396257520/home"", ""detail_name"": ""늘봄식품슈퍼,마트"", ""detail_road_address"": ""서울 강남구 언주로150길 24"", ""detail_jibun_address"": ""서울 강남구 논현동 97-8"", ""normalized_source_name"": ""늘봄식품"", ""normalized_detail_name"": ""늘봄식품슈퍼마트"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구언주로150길24논현동늘봄식품"", ""normalized_detail_road_address"": ""서울강남구언주로150길24"", ""normalized_detail_jibun_address"": ""서울강남구논현동978"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,0,False,False,SUCCESS,SUCCESS,NO_DATA,SUCCESS,True,10,8,0,0,10,,PARTIAL,,SUCCESS,,11763
7553,부산집,서울특별시 강남구 강남대로150길 10 (논현동) 1층,논현동 부산집,11678788,https://pcmap.place.naver.com/restaurant/11678788/home,AMBIGUOUS,NOT_ATTEMPTED,QWEN,True,LOW,"2,1,3,4,0",,5,"[{""rank"": 1, ""candidate_name"": ""부산아구찜"", ""candidate_address"": """", ""place_id"": ""1949747652"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1949747652/home"", ""detail_name"": ""부산아구찜"", ""detail_road_address"": ""서울 서초구 사평대로55길 42"", ""detail_jibun_address"": ""서울 서초구 반포동 738"", ""normalized_source_name"": ""부산집"", ""normalized_detail_name"": ""부산아구찜"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구강남대로150길10논현동1층"", ""normalized_detail_road_address"": ""서울서초구사평대로55길42"", ""normalized_detail_jibun_address"": ""서울서초구반포동738"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 2, ""candidate_name"": ""춘하추동밀면 논현직영점국수"", ""candidate_address"": """", ""place_id"": ""1412593834"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1412593834/home"", ""detail_name"": ""춘하추동밀면 논현직영점국수"", ""detail_road_address"": ""서울 강남구 언주로148길 14 나동 109호"", ""detail_jibun_address"": ""서울 강남구 논현동 98-12"", ""normalized_source_name"": ""부산집"", ""normalized_detail_name"": ""춘하추동밀면논현직영점국수"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구강남대로150길10논현동1층"", ""normalized_detail_road_address"": ""서울강남구언주로148길14나동109호"", ""normalized_detail_jibun_address"": ""서울강남구논현동9812"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 3, ""candidate_name"": ""부산아지매국밥 역삼점"", ""candidate_address"": """", ""place_id"": ""37797403"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/37797403/home"", ""detail_name"": ""부산아지매국밥 역삼점"", ""detail_road_address"": ""서울 강남구 논현로85길 5-3 청도빌딩 1층"", ""detail_jibun_address"": ""서울 강남구 역삼동 738-10"", ""normalized_source_name"": ""부산집"", ""normalized_detail_name"": ""부산아지매국밥역삼점"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구강남대로150길10논현동1층"", ""normalized_detail_road_address"": ""서울강남구논현로85길53청도빌딩1층"", ""normalized_detail_jibun_address"": ""서울강남구역삼동73810"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 4, ""candidate_name"": ""압구정변강쇠떡볶이떡볶이"", ""candidate_address"": """", ""place_id"": ""37837245"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/37837245/home"", ""detail_name"": ""압구정변강쇠떡볶이떡볶이"", ""detail_road_address"": ""서울 강남구 도산대로46길 21 한진로즈힐아파트 101동 상가117호"", ""detail_jibun_address"": ""서울 강남구 논현동 105-4"", ""normalized_source_name"": ""부산집"", ""normalized_detail_name"": ""압구정변강쇠떡볶이떡볶이"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구강남대로150길10논현동1층"", ""normalized_detail_road_address"": ""서울강남구도산대로46길21한진로즈힐아파트101동상가117호"", ""normalized_detail_jibun_address"": ""서울강남구논현동1054"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}, {""rank"": 5, ""candidate_name"": ""부산아구아귀찜,해물찜"", ""candidate_address"": """", ""place_id"": ""11678788"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/11678788/home"", ""detail_name"": ""부산아구아귀찜,해물찜"", ""detail_road_address"": ""서울 강남구 강남대로150길 10"", ""detail_jibun_address"": ""서울 강남구 논현동 16-1"", ""normalized_source_name"": ""부산집"", ""normalized_detail_name"": ""부산아구아귀찜해물찜"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구강남대로150길10논현동1층"", ""normalized_detail_road_address"": ""서울강남구강남대로150길10"", ""normalized_detail_jibun_address"": ""서울강남구논현동161"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""NAME_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,13527
7554,제주생선구이 올래밥상,"서울 강남구 논현로 613, 1층 (논현동)",논현동 제주생선구이 올래밥상,,,NOT_FOUND,NOT_ATTEMPTED,NONE,False,,,,0,[],NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,NO_VALID_CANDIDATE,NOT_ATTEMPTED,,501
7557,부대찌개매니아 돈돌,서울특별시 강남구 선릉로129길 11 논현동242-18 2층  부대찌개매니아돈돌,논현동 부대찌개매니아 돈돌,20889368,https://pcmap.place.naver.com/restaurant/20889368/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,0,,1,"[{""rank"": 1, ""candidate_name"": ""돈돌 부대찌개 매니아 강남구청점찌개,전골"", ""candidate_address"": """", ""place_id"": ""20889368"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/20889368/home"", ""detail_name"": ""돈돌 부대찌개 매니아 강남구청점찌개,전골"", ""detail_road_address"": ""서울 강남구 선릉로129길 11 논현동242-18 2층"", ""detail_jibun_address"": ""서울 강남구 논현동 242-18 242-18 2층"", ""normalized_source_name"": ""부대찌개매니아돈돌"", ""normalized_detail_name"": ""돈돌부대찌개매니아강남구청점찌개전골"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울특별시강남구선릉로129길11논현동242182층부대찌개매니아돈돌"", ""normalized_detail_road_address"": ""서울강남구선릉로129길11논현동242182층"", ""normalized_detail_jibun_address"": ""서울강남구논현동24218242182층"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""NAME_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,3163
7558,보틀그린,서울특별시 강남구 도산대로16길 13-7 B201호 보틀그린,논현동 보틀그린,33525239,https://pcmap.place.naver.com/restaurant/33525239/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,0,1,1,"[{""rank"": 1, ""candidate_name"": ""보틀그린 와인샵주류"", ""candidate_address"": """", ""place_id"": ""33525239"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/33525239/home"", ""detail_name"": ""보틀그린 와인샵주류"", ""detail_road_address"": ""서울 강남구 도산대로16길 13-7"", ""detail_jibun_address"": ""서울 강남구 논현동 10-3"", ""normalized_source_name"": ""보틀그린"", ""normalized_detail_name"": ""보틀그린와인샵주류"", ""name_comparison"": ""CONTAINED"", ""normalized_source_address"": ""서울특별시강남구도산대로16길137b201호보틀그린"", ""normalized_detail_road_address"": ""서울강남구도산대로16길137"", ""normalized_detail_jibun_address"": ""서울강남구논현동103"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,0,False,False,SUCCESS,SUCCESS,NO_DATA,SUCCESS,True,10,10,0,0,10,,PARTIAL,,SUCCESS,,13531
7561,주래등,서울특별시 강남구 언주로150길 24 (논현동) 지하1층,논현동 주래등,18505457,https://pcmap.place.naver.com/restaurant/18505457/home,RESOLVED,PARTIAL,SINGLE_CANDIDATE,False,,0,1,1,"[{""rank"": 1, ""candidate_name"": ""주래등"", ""candidate_address"": """", ""place_id"": ""18505457"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/18505457/home"", ""detail_name"": ""주래등"", ""detail_road_address"": ""서울 강남구 언주로150길 24"", ""detail_jibun_address"": ""서울 강남구 논현동 97-8"", ""normalized_source_name"": ""주래등"", ""normalized_detail_name"": ""주래등"", ""name_comparison"": ""EXACT"", ""normalized_source_address"": ""서울특별시강남구언주로150길24논현동지하1층"", ""normalized_detail_road_address"": ""서울강남구언주로150길24"", ""normalized_detail_jibun_address"": ""서울강남구논현동978"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""RESOLVED"", ""failure_reason"": ""DETAIL_EVIDENCE_INSUFFICIENT""}]",PLAYWRIGHT_DOM,NOT_ATTEMPTED,SUCCESS,,72,False,False,SUCCESS,NO_DATA,SUCCESS,SUCCESS,True,10,10,15,10,10,,PARTIAL,,SUCCESS,,10307
7562,하나마토 논현점,"서울 강남구 학동로2길 31, 1층 (논현동)",논현동 하나마토 논현점,1034953698,https://pcmap.place.naver.com/restaurant/1034953698/home,AMBIGUOUS,NOT_ATTEMPTED,SINGLE_CANDIDATE,False,,0,,1,"[{""rank"": 1, ""candidate_name"": ""하나마토 신논현"", ""candidate_address"": """", ""place_id"": ""1034953698"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1034953698/home"", ""detail_name"": ""하나마토 신논현"", ""detail_road_address"": ""서울 강남구 학동로2길 31 1층"", ""detail_jibun_address"": ""서울 강남구 논현동 144-3"", ""normalized_source_name"": ""하나마토논현점"", ""normalized_detail_name"": ""하나마토신논현"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울강남구학동로2길311층논현동"", ""normalized_detail_road_address"": ""서울강남구학동로2길311층"", ""normalized_detail_jibun_address"": ""서울강남구논현동1443"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""NAME_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,2992
7566,60년전통 신촌황소곱창(논현점),"서울 강남구 봉은사로1길 37, 지상 1층 (논현동, 호서빌딩) 60년 전통 신촌 황소곱창",논현동 60년전통 신촌황소곱창(논현점),35337611,https://pcmap.place.naver.com/restaurant/35337611/home,AMBIGUOUS,NOT_ATTEMPTED,QWEN,True,HIGH,"2,0,1",,3,"[{""rank"": 1, ""candidate_name"": ""60년전통 신촌황소곱창 논현직영점곱창,막창,양"", ""candidate_address"": """", ""place_id"": ""61244505"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/61244505/home"", ""detail_name"": ""60년전통 신촌황소곱창 논현직영점곱창,막창,양"", ""detail_road_address"": ""서울 강남구 봉은사로1길 37 지상1층"", ""detail_jibun_address"": ""서울 강남구 논현동 165-16"", ""normalized_source_name"": ""60년전통신촌황소곱창논현점"", ""normalized_detail_name"": ""60년전통신촌황소곱창논현직영점곱창막창양"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울강남구봉은사로1길37지상1층논현동호서빌딩60년전통신촌황소곱창"", ""normalized_detail_road_address"": ""서울강남구봉은사로1길37지상1층"", ""normalized_detail_jibun_address"": ""서울강남구논현동16516"", ""address_comparison"": ""STRONG_MATCH"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""NAME_MISMATCH""}, {""rank"": 2, ""candidate_name"": ""60년전통신촌황소곱창 강남역직영점"", ""candidate_address"": """", ""place_id"": ""1017596309"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/1017596309/home"", ""detail_name"": ""60년전통신촌황소곱창 강남역직영점"", ""detail_road_address"": """", ""detail_jibun_address"": """", ""normalized_source_name"": ""60년전통신촌황소곱창논현점"", ""normalized_detail_name"": ""60년전통신촌황소곱창강남역직영점"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울강남구봉은사로1길37지상1층논현동호서빌딩60년전통신촌황소곱창"", ""normalized_detail_road_address"": """", ""normalized_detail_jibun_address"": """", ""address_comparison"": ""UNKNOWN"", ""validation_result"": ""AMBIGUOUS"", ""failure_reason"": ""DETAIL_ADDRESS_MISSING""}, {""rank"": 3, ""candidate_name"": ""60년전통신촌황소곱창 선릉직영점곱창,막창,양"", ""candidate_address"": """", ""place_id"": ""35337611"", ""detail_url"": ""https://pcmap.place.naver.com/restaurant/35337611/home"", ""detail_name"": ""60년전통신촌황소곱창 선릉직영점곱창,막창,양"", ""detail_road_address"": ""서울 강남구 선릉로86길 32"", ""detail_jibun_address"": ""서울 강남구 대치동 896-18"", ""normalized_source_name"": ""60년전통신촌황소곱창논현점"", ""normalized_detail_name"": ""60년전통신촌황소곱창선릉직영점곱창막창양"", ""name_comparison"": ""DIFFERENT"", ""normalized_source_address"": ""서울강남구봉은사로1길37지상1층논현동호서빌딩60년전통신촌황소곱창"", ""normalized_detail_road_address"": ""서울강남구선릉로86길32"", ""normalized_detail_jibun_address"": ""서울강남구대치동89618"", ""address_comparison"": ""DIFFERENT"", ""validation_result"": ""NOT_FOUND"", ""failure_reason"": ""NAME_AND_ADDRESS_MISMATCH""}]",NONE,NOT_ATTEMPTED,NOT_ATTEMPTED,,0,,False,,,,,False,0,0,0,0,0,,NOT_ATTEMPTED,TOP_K_DETAIL_VALIDATION_FAILED,NOT_ATTEMPTED,,8635
