restaurant_id,place_id,resolved_name,resolved_address,verification_status,verified_at
7551,1396257520,"늘봄식품슈퍼,마트",서울 강남구 언주로150길 24,RESOLVED,2026-09-20T23:16:57
7558,33525239,보틀그린 와인샵주류,서울 강남구 도산대로16길 13-7,RESOLVED,2026-09-20T23:17:46
7561,18505457,주래등,서울 강남구 언주로150길 24,RESOLVED,2026-09-20T23:18:05
7569,1928109570,잡담,서울 강남구 도산대로30길 16-4 102호,RESOLVED,2026-09-20T23:18:48
7555,13410427,진대감 논현본점,서울 강남구 학동로38길 38,RESOLVED,2026-09-20T23:19:33
7556,1274117863,봉추찜닭 강남구청역점,"서울 강남구 학동로 343 (논현동, 더피나클강남) 지하2층",RESOLVED,2026-09-20T23:19:48
7559,38273845,카페 루카카페,서울 강남구 봉은사로43길 28 논현동빌딩,RESOLVED,2026-09-20T23:20:02
7560,1604081462,"사운드웨이브커피카페,디저트",서울 강남구 논현로146길 13 1층 사운드웨이브커피,RESOLVED,2026-09-20T23:20:17
7572,292501040,토가라시일본식라면,서울 강남구 학동로25길 14 1층,RESOLVED,2026-09-20T23:20:41
7575,1252641087,"논현골 흑염소육류,고기요리",서울 강남구 강남대로120길 40 102동,RESOLVED,2026-09-20T23:20:57
7550,43229792,다모아분식,서울 강남구 논현로150길 41,RESOLVED,2026-09-20T23:21:24
7548,1998347538,상해루중식당,서울 강남구 강남대로 512 지하1층 상해루,RESOLVED,2026-09-20T23:34:45
7571,1240960957,정육공방소고기구이,서울 강남구 도산대로30길 24,RESOLVED,2026-09-20T23:36:38
7557,20889368,"돈돌 부대찌개 매니아 강남구청점찌개,전골",서울 강남구 선릉로129길 11 논현동242-18 2층,RESOLVED,2026-09-21T00:06:58
7566,61244505,"60년전통 신촌황소곱창 논현직영점곱창,막창,양",서울 강남구 봉은사로1길 37 지상1층,RESOLVED,2026-09-21T00:07:47
7568,1743063426,완도1957 강남구청역점,서울 강남구 학동로 338 지상 1층 109호,RESOLVED,2026-09-21T00:08:03
