restaurant_id,reference_name,query,query_stage,original_candidate_count,filtered_candidate_count,matcher_source,qwen_ranking,selected_candidate_index,selected_candidate_name,qwen_used,qwen_confidence,candidate_url,place_id,place_id_source,resolved_rank,detail_validation,detail_name,detail_address,detail_category,name_evidence,address_evidence,final_status,reason,risk_flags,elapsed_ms,detail_validation_attempts
4282,집밥식당 선02,매봉역 선02,station,9,5,QWEN,"0,1,2",0,집밥식당 선02,True,LOW,#,1793398137,DOM_DATA_NLOG,1,PASS,집밥식당 선02,서울 강남구 개포로25길 5 1층,,EXACT,PARTIAL,RESOLVED,,,3084,1
4299,오마뎅 개포래미안포레스트점,개포동 오마뎅 개포래미안포레스트점,dong,1,1,SINGLE_CANDIDATE,0,0,오마뎅 개포래미안포레스트점분식,False,,#,1195725724,DOM_DATA_NLOG,1,PASS,오마뎅 개포래미안포레스트점분식,서울 강남구 개포로 264 제 상가1동 1층 103-1호,,CONTAINED,PARTIAL,RESOLVED,,,1034,1
4301,캠토토스트 국악고점,매봉역 캠토토스트국악고점,station,1,1,SINGLE_CANDIDATE,0,0,캠토토스트 국악고점토스트,False,,#,1782675433,DOM_DATA_NLOG,1,PASS,캠토토스트 국악고점토스트,서울 강남구 개포로22길 47 101호,,CONTAINED,PARTIAL,RESOLVED,,,1104,1
4302,피자스쿨 개포1단지점,개포동 피자스쿨개포1단지점,dong,1,1,SINGLE_CANDIDATE,0,0,피자스쿨 개포1단지점피자,False,,https://pcmap.place.naver.com/restaurant/20823678/home,20823678,DOM_DATA_NLOG,,FAIL,피자스쿨 개포1단지점피자,서울 강남구 선릉로6길 8,,CONTAINED,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,987,1
4348,이치진 강남개포점,매봉역 이치진,station,1,1,SINGLE_CANDIDATE,0,0,이치진 강남개포점,False,,#,1310475948,DOM_DATA_NLOG,1,PASS,이치진 강남개포점,서울 강남구 논현로18길 15 1층 이치진,,EXACT,PARTIAL,RESOLVED,,,977,1
4358,대청만찬,강남구 대청만찬,gangnam,1,1,SINGLE_CANDIDATE,0,0,,False,,,,,,NOT_ATTEMPTED,,,,UNKNOWN,UNKNOWN,NOT_FOUND,PLACE_ID_NOT_IN_CANDIDATE_DOM,PLACE_ID_NOT_IN_CANDIDATE_DOM,460,0
4360,김의영의 춘천닭갈비,구룡역 춘천닭갈비,station,3,3,QWEN,"0,1,2",0,김의영의 춘천닭갈비닭갈비,True,LOW,#,36883812,DOM_DATA_NLOG,1,PASS,김의영의 춘천닭갈비닭갈비,서울 강남구 선릉로8길 5 102호,,CONTAINED,PARTIAL,RESOLVED,,,2504,1
4367,맛찬,대모산입구역 맛찬,station,1,1,SINGLE_CANDIDATE,0,0,맛찬한식,False,,#,1558499234,DOM_DATA_NLOG,1,PASS,맛찬한식,서울 강남구 개포로 615,,CONTAINED,PARTIAL,RESOLVED,,,1053,1
4374,개포시장 봉평메밀막국수 칼국수,개포동역 봉평메밀 막국수,station,3,3,QWEN,"0,1,2",0,개포시장 봉평메밀막국수 칼국수막국수,True,LOW,#,1203242428,DOM_DATA_NLOG,1,PASS,개포시장 봉평메밀막국수 칼국수막국수,서울 강남구 개포로82길 5-8,,CONTAINED,EXACT,RESOLVED,,,2517,1
4466,은율네,강남구 은율네,gangnam,1,1,SINGLE_CANDIDATE,0,0,,False,,,,,,NOT_ATTEMPTED,,,,UNKNOWN,UNKNOWN,NOT_FOUND,PLACE_ID_NOT_IN_CANDIDATE_DOM,PLACE_ID_NOT_IN_CANDIDATE_DOM,528,0
