source_type,previous_naver_status,restaurant_id,reference_name,query,query_stage,original_candidate_count,filtered_candidate_count,matcher_source,qwen_ranking,selected_candidate_index,selected_candidate_name,qwen_used,qwen_confidence,candidate_url,place_id,place_id_source,resolved_rank,detail_validation,detail_name,detail_address,detail_category,name_evidence,address_evidence,final_status,reason,risk_flags,elapsed_ms,detail_validation_attempts
KOMSCO_DIRECT,MATCHED,4282,선02,매봉역 선02,station,9,5,QWEN,"0,1,2",0,썬공인중개사사무소중개업,True,LOW,https://pcmap.place.naver.com/restaurant/1381131040/home,1381131040,DOM_DATA_NLOG,,FAIL,썬공인중개사사무소중개업,서울 서초구 마방로10길 15 비동 1층 107호,,DIFFERENT,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,4045,2
KOMSCO_DIRECT,UNMATCHED,4325,샤넬,대청역 샤넬,station,4,4,QWEN,"1,2,3",1,"롯데면세점 월드타워점 샤넬 화장품화장품,향수",True,LOW,https://pcmap.place.naver.com/restaurant/1686220665/home,1686220665,DOM_DATA_NLOG,,FAIL,"롯데면세점 월드타워점 샤넬 화장품화장품,향수",서울 송파구 올림픽로 300 롯데면세점 월드타워점 9층,,CONTAINED,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,3444,2
KOMSCO_DIRECT,MATCHED,4298,빨간모자피자,논현역 빨간모자피자,station,1,1,SINGLE_CANDIDATE,0,0,빨간모자피자 논현점피자,False,,https://pcmap.place.naver.com/restaurant/11580560/home,11580560,DOM_DATA_NLOG,,FAIL,빨간모자피자 논현점피자,서울 강남구 학동로6길 30,,CONTAINED,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,1163,1
KOMSCO_DIRECT,UNMATCHED,4293,족발대감,논현동 족발대감,dong,1,1,SINGLE_CANDIDATE,0,0,"대감왕족발족발,보쌈",False,,https://pcmap.place.naver.com/restaurant/1531219789/home,1531219789,DOM_DATA_NLOG,,FAIL,"대감왕족발족발,보쌈",서울 강남구 압구정로 216,,DIFFERENT,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,693,1
KOMSCO_DIRECT,MATCHED,4278,오레노 카츠,한티역 오레노 카츠,station,2,2,QWEN,"0,1",0,오레노카츠 대치점,True,LOW,#,1488199141,DOM_DATA_NLOG,1,PASS,오레노카츠 대치점,서울 강남구 도곡로63길 28,,CONTAINED,PARTIAL,RESOLVED,,,2571,1
KOMSCO_DIRECT,AMBIGUOUS,4337,코코호도대치점,대치역 코코호도대치점,station,1,1,SINGLE_CANDIDATE,0,0,코코호도 대치점호두과자,False,,https://pcmap.place.naver.com/restaurant/12796490/home,12796490,DOM_DATA_NLOG,,FAIL,코코호도 대치점호두과자,서울 강남구 삼성로 212-2 은마상가 A-118호,,CONTAINED,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,1063,1
KOMSCO_DIRECT,MATCHED,4279,카츠오우 도곡점,매봉역 카츠오우 도곡점,station,1,1,SINGLE_CANDIDATE,0,0,카츠오우 도곡점돈가스,False,,https://pcmap.place.naver.com/restaurant/1003690665/home,1003690665,DOM_DATA_NLOG,,FAIL,카츠오우 도곡점돈가스,서울 강남구 논현로30길 42 1층,,CONTAINED,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,985,1
KOMSCO_DIRECT,UNMATCHED,4306,불룸(Bloom),매봉역 불룸(Bloom),station,1,1,SINGLE_CANDIDATE,0,0,워크샵B,False,,https://pcmap.place.naver.com/restaurant/33141973/home,33141973,DOM_DATA_NLOG,,FAIL,워크샵B,서울 서초구 강남대로23길 88 2층,,DIFFERENT,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,1347,1
KOMSCO_DIRECT,MATCHED,4289,수궁갈비집,봉은사역 수궁갈비집,station,1,1,SINGLE_CANDIDATE,0,0,수궁갈비집한식,False,,https://pcmap.place.naver.com/restaurant/13150128/home,13150128,DOM_DATA_NLOG,,FAIL,수궁갈비집한식,서울 강남구 봉은사로97길 4,,CONTAINED,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,819,1
KOMSCO_DIRECT,UNMATCHED,4292,송강식당,봉은사역 송강식당,station,2,2,QWEN,"0,1",0,송강제면소 강남삼성 직영점일본식라면,True,LOW,https://pcmap.place.naver.com/restaurant/2143696228/home,2143696228,DOM_DATA_NLOG,,FAIL,송강제면소 강남삼성 직영점일본식라면,서울 강남구 삼성로104길 15 2층,,DIFFERENT,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,2935,2
KOMSCO_DIRECT,MATCHED,4296,돌리고제주도야지,세곡동 돌리고제주도야지,dong,1,1,SINGLE_CANDIDATE,0,0,돌리고제주도야지 세곡점돼지고기구이,False,,#,1271767280,DOM_DATA_NLOG,1,PASS,돌리고제주도야지 세곡점돼지고기구이,서울 강남구 헌릉로569길 9 강남지웰파인즈 1층 101호,,CONTAINED,PARTIAL,RESOLVED,,,930,1
KOMSCO_DIRECT,UNMATCHED,4587,주식회사 고유에프앤비,강남구 주식회사 고유에프앤비,gangnam,0,0,DETERMINISTIC,,,,False,,,,,,NOT_ATTEMPTED,,,,UNKNOWN,UNKNOWN,NOT_FOUND,NO_CONFIDENT_CANDIDATE,NO_CONFIDENT_CANDIDATE,477,0
KOMSCO_DIRECT,MATCHED,4419,파리바게뜨 수서역점,수서역 파리바게뜨 수서역점,station,1,1,SINGLE_CANDIDATE,0,0,파리바게뜨 수서역점,False,,https://pcmap.place.naver.com/restaurant/11684209/home,11684209,DOM_DATA_NLOG,,FAIL,파리바게뜨 수서역점,서울 강남구 광평로 280 (수서동) 로즈데일오피스텔 지상1층 105호,,EXACT,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,1077,1
KOMSCO_DIRECT,UNMATCHED,4281,더(THE)냄비,강남구 더(THE)냄비,gangnam,0,0,DETERMINISTIC,,,,False,,,,,,NOT_ATTEMPTED,,,,UNKNOWN,UNKNOWN,NOT_FOUND,NO_CONFIDENT_CANDIDATE,NO_CONFIDENT_CANDIDATE,592,0
KOMSCO_DIRECT,MATCHED,4280,소나무,압구정역 소나무,station,9,5,QWEN,"4,1,0",4,소나무소고기구이,True,LOW,https://pcmap.place.naver.com/restaurant/1618902912/home,1618902912,DOM_DATA_NLOG,,FAIL,소나무소고기구이,서울 강남구 압구정로28길 22-9 1층,,CONTAINED,DIFFERENT,AMBIGUOUS,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,3816,3
