source_type,previous_naver_status,restaurant_id,reference_name,query,query_stage,initial_status,naver_fallback_used,naver_fallback_result,fallback_recovered,final_status,original_candidate_count,filtered_candidate_count,matcher_source,qwen_ranking,selected_candidate_index,selected_candidate_name,qwen_used,qwen_confidence,candidate_url,place_id,place_id_source,resolved_rank,detail_validation,detail_name,detail_address,detail_category,name_evidence,address_evidence,reason,risk_flags,elapsed_ms,detail_validation_attempts
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4282,집밥식당 선02,매봉역 집밥식당 선02,naver_local_fallback,AMBIGUOUS,True,ENRICHED:RESOLVED,True,RESOLVED,2,2,QWEN,"0,1",0,집밥식당 선02,True,LOW,#,1793398137,DOM_DATA_NLOG,1,PASS,집밥식당 선02,서울 강남구 개포로25길 5 1층,,EXACT,PARTIAL,,,5632,1
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4299,오마뎅 개포래미안포레스트점,개포동 오마뎅 개포래미안포레스트점,dong,RESOLVED,False,NOT_REQUIRED,False,RESOLVED,1,1,SINGLE_CANDIDATE,0,0,오마뎅 개포래미안포레스트점분식,False,,#,1195725724,DOM_DATA_NLOG,1,PASS,오마뎅 개포래미안포레스트점분식,서울 강남구 개포로 264 제 상가1동 1층 103-1호,,CONTAINED,PARTIAL,,,3410,1
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4301,캠토토스트국악고점,매봉역 캠토토스트국악고점,station,AMBIGUOUS,True,NO_USABLE_CANDIDATE,False,AMBIGUOUS,1,1,SINGLE_CANDIDATE,0,0,캠토토스트 국악고점토스트,False,,https://pcmap.place.naver.com/restaurant/1782675433/home,1782675433,DOM_DATA_NLOG,,FAIL,캠토토스트 국악고점토스트,서울 강남구 개포로22길 47 101호,,CONTAINED,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,938,1
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4302,피자스쿨 개포1단지점,구룡역 피자스쿨 개포1단지점,naver_local_fallback,AMBIGUOUS,True,ENRICHED:NOT_FOUND,False,NOT_FOUND,0,0,DETERMINISTIC,,,,False,,,,,,NOT_ATTEMPTED,,,,UNKNOWN,UNKNOWN,NO_CONFIDENT_CANDIDATE,NO_CONFIDENT_CANDIDATE,3646,0
KOMSCO_DIRECT_NAVER_FALLBACK,UNMATCHED,4325,샤넬,대청역 샤넬,station,AMBIGUOUS,False,SKIPPED_NO_NAVER_MATCH,False,AMBIGUOUS,4,4,QWEN,"1,2,3",1,"롯데면세점 월드타워점 샤넬 화장품화장품,향수",True,LOW,https://pcmap.place.naver.com/restaurant/1686220665/home,1686220665,DOM_DATA_NLOG,,FAIL,"롯데면세점 월드타워점 샤넬 화장품화장품,향수",서울 송파구 올림픽로 300 롯데면세점 월드타워점 9층,,CONTAINED,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,3097,2
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4348,이치진 강남개포점,매봉역 이치진 강남개포점,naver_local_fallback,AMBIGUOUS,True,ENRICHED:RESOLVED,True,RESOLVED,1,1,SINGLE_CANDIDATE,0,0,이치진 강남개포점,False,,#,1310475948,DOM_DATA_NLOG,1,PASS,이치진 강남개포점,서울 강남구 논현로18길 15 1층 이치진,,EXACT,PARTIAL,,,1683,1
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4358,대청만찬,대청역 대청만찬,naver_local_fallback,NOT_FOUND,True,ENRICHED:NOT_FOUND,False,NOT_FOUND,1,1,SINGLE_CANDIDATE,0,0,,False,,,,,,NOT_ATTEMPTED,,,,UNKNOWN,UNKNOWN,PLACE_ID_NOT_IN_CANDIDATE_DOM,PLACE_ID_NOT_IN_CANDIDATE_DOM,5834,0
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4360,춘천닭갈비,구룡역 춘천닭갈비,station,AMBIGUOUS,True,NO_USABLE_CANDIDATE,False,AMBIGUOUS,3,3,QWEN,"0,1,2",0,춘천명물닭갈비닭갈비,True,LOW,https://pcmap.place.naver.com/restaurant/18420156/home,18420156,DOM_DATA_NLOG,,FAIL,춘천명물닭갈비닭갈비,서울 강남구 개포로22길 14,,DIFFERENT,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,2692,2
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4367,맛찬,대모산입구역 맛찬,station,AMBIGUOUS,True,NO_USABLE_CANDIDATE,False,AMBIGUOUS,1,1,SINGLE_CANDIDATE,0,0,맛찬한식,False,,https://pcmap.place.naver.com/restaurant/1558499234/home,1558499234,DOM_DATA_NLOG,,FAIL,맛찬한식,서울 강남구 개포로 615,,CONTAINED,DIFFERENT,TOP_K_DETAIL_VALIDATION_FAILED,TOP_K_DETAIL_VALIDATION_FAILED,856,1
KOMSCO_DIRECT_NAVER_FALLBACK,MATCHED,4374,봉평메밀 막국수,개포동역 봉평메밀 막국수,station,RESOLVED,False,NOT_REQUIRED,False,RESOLVED,3,3,QWEN,"0,1,2",0,개포시장 봉평메밀막국수 칼국수막국수,True,LOW,#,1203242428,DOM_DATA_NLOG,1,PASS,개포시장 봉평메밀막국수 칼국수막국수,서울 강남구 개포로82길 5-8,,CONTAINED,PARTIAL,,,2517,1
