restaurant_id,query,query_stage,naver_local_name,naver_local_address,candidate_count,matcher_source,selected_candidate_index,qwen_candidate_indices,selected_candidate_name,qwen_used,qwen_confidence,candidate_url,place_id,place_id_source,detail_name,detail_address,detail_category,name_evidence,address_evidence,final_status,risk_flags,elapsed_ms,detail_validation_attempts
4299,개포동 오마뎅 개포래미안포레스트점,dong,오마뎅 개포래미안포레스트점,서울특별시 강남구 개포동 1282 제 상가1동 1층 103-1호,1,SINGLE_CANDIDATE,0,0,오마뎅 개포래미안포레스트점분식,False,,#,1195725724,DOM_DATA_NLOG,오마뎅 개포래미안포레스트점분식,서울 강남구 개포로 264 제 상가1동 1층 103-1호,,CONTAINED,PARTIAL,RESOLVED,,1037,1
4321,신논현역 대포집,station,대포집 논현본점,서울특별시 강남구 논현동 184-21 1층,1,SINGLE_CANDIDATE,0,0,대포집 논현본점,False,,#,1609486868,DOM_DATA_NLOG,대포집 논현본점,서울 강남구 강남대로114길 15 1층,,EXACT,PARTIAL,RESOLVED,,864,1
4283,선릉역 카발,station,카발,서울특별시 강남구 대치동 897-10,1,SINGLE_CANDIDATE,0,0,카발,False,,#,36665270,DOM_DATA_NLOG,카발,서울 강남구 선릉로82길 7,,EXACT,PARTIAL,RESOLVED,,771,1
4279,매봉역 카츠오우 도곡점,station,카츠오우 도곡점,서울특별시 강남구 도곡동 420-2 1층,1,SINGLE_CANDIDATE,0,0,카츠오우 도곡점돈가스,False,,#,1003690665,DOM_DATA_NLOG,카츠오우 도곡점돈가스,서울 강남구 논현로30길 42 1층,,CONTAINED,PARTIAL,RESOLVED,,987,1
4289,봉은사역 수궁갈비집,station,수궁갈비집,서울특별시 강남구 삼성동 77-25,1,SINGLE_CANDIDATE,0,0,수궁갈비집한식,False,,#,13150128,DOM_DATA_NLOG,수궁갈비집한식,서울 강남구 봉은사로97길 4,,CONTAINED,PARTIAL,RESOLVED,,737,1
4296,세곡동 돌리고제주도야지,dong,돌리고제주도야지 세곡점,서울특별시 강남구 세곡동 587 강남지웰파인즈 1층 101호,1,SINGLE_CANDIDATE,0,0,돌리고제주도야지 세곡점돼지고기구이,False,,#,1271767280,DOM_DATA_NLOG,돌리고제주도야지 세곡점돼지고기구이,서울 강남구 헌릉로569길 9 강남지웰파인즈 1층 101호,,CONTAINED,PARTIAL,RESOLVED,,1000,1
4419,수서역 파리바게뜨 수서역점,station,파리바게뜨 수서역점,서울특별시 강남구 수서동 724 로즈데일오피스텔 지상1층 105호,1,SINGLE_CANDIDATE,0,0,파리바게뜨 수서역점,False,,#,11684209,DOM_DATA_NLOG,파리바게뜨 수서역점,서울 강남구 광평로 280 (수서동) 로즈데일오피스텔 지상1층 105호,,EXACT,PARTIAL,RESOLVED,,1147,1
4280,압구정역 소나무,station,소나무,서울특별시 강남구 신사동 576-3 1층,5,QWEN,0,"0,1,4",소나무소고기구이,True,LOW,#,1618902912,DOM_DATA_NLOG,소나무소고기구이,서울 강남구 압구정로28길 22-9 1층,,CONTAINED,PARTIAL,RESOLVED,,4364,1
5719,압구정로데오역 서울동,station,서울동,서울특별시 강남구 압구정동 494 갤러리아백화점 명품관 WEST 고메이494 지하1층,5,QWEN,0,"0,1,2",서울동일식당,True,LOW,#,1813928080,DOM_DATA_NLOG,서울동일식당,서울 강남구 압구정로 343 갤러리아백화점 명품관 WEST 고메이494 지하1층,일식당,CONTAINED,PARTIAL,RESOLVED,,3029,1
4295,강남구 전라도밥집 순천댁,gangnam,전라도밥집 순천댁,서울특별시 강남구 역삼동 837-26 삼일프라자 1층,1,SINGLE_CANDIDATE,0,0,,False,,,,,,,,UNKNOWN,UNKNOWN,NOT_FOUND,PLACE_ID_NOT_IN_CANDIDATE_DOM,556,0
