restaurant_id,reference_name,reference_road_address,reference_category,query,candidate_count,matcher_source,qwen_candidate_index,qwen_candidate_name,qwen_confidence,place_id,detail_name,detail_address,detail_category,detail_validation,final_status,risk,risk_reason,elapsed_ms
4299,오마뎅 개포래미안포레스트점,서울특별시 강남구 개포로 264 제 상가1동 1층 103-1호,음식점>분식,개포동 오마뎅 개포래미안포레스트점,1,QWEN,0,오마뎅 개포래미안포레스트점분식,HIGH,1195725724,오마뎅 개포래미안포레스트점분식,서울 강남구 개포로 264 제 상가1동 1층 103-1호,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,4971
4321,대포집 논현본점,서울특별시 강남구 강남대로114길 15 1층,한식>돼지고기구이,신논현역 대포집,1,QWEN,0,대포집 논현본점,HIGH,1609486868,대포집 논현본점,서울 강남구 강남대로114길 15 1층,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2317
4283,카발,서울특별시 강남구 선릉로82길 7,음식점>이탈리아음식,선릉역 카발,1,QWEN,0,카발,HIGH,36665270,카발,서울 강남구 선릉로82길 7,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2257
4279,카츠오우 도곡점,서울특별시 강남구 논현로30길 42 1층,음식점>일식>돈가스,매봉역 카츠오우 도곡점,1,QWEN,0,카츠오우 도곡점돈가스,HIGH,1003690665,카츠오우 도곡점돈가스,서울 강남구 논현로30길 42 1층,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2190
4289,수궁갈비집,서울특별시 강남구 봉은사로97길 4,음식점>한식,봉은사역 수궁갈비집,1,QWEN,0,수궁갈비집한식,HIGH,13150128,수궁갈비집한식,서울 강남구 봉은사로97길 4,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2386
4296,돌리고제주도야지 세곡점,서울특별시 강남구 헌릉로569길 9 강남지웰파인즈 1층 101호,"육류,고기요리>돼지고기구이",세곡동 돌리고제주도야지,1,QWEN,0,돌리고제주도야지 세곡점돼지고기구이,HIGH,1271767280,돌리고제주도야지 세곡점돼지고기구이,서울 강남구 헌릉로569길 9 강남지웰파인즈 1층 101호,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,1892
4419,파리바게뜨 수서역점,서울특별시 강남구 광평로 280 (수서동) 로즈데일오피스텔 지상1층 105호,"카페,디저트>베이커리",수서역 파리바게뜨 수서역점,1,QWEN,0,파리바게뜨 수서역점,HIGH,11684209,파리바게뜨 수서역점,서울 강남구 광평로 280 (수서동) 로즈데일오피스텔 지상1층 105호,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2424
4280,소나무,서울특별시 강남구 압구정로28길 22-9 1층,한식>소고기구이,압구정역 소나무,5,QWEN,0,소나무소고기구이,HIGH,1618902912,소나무소고기구이,서울 강남구 압구정로28길 22-9 1층,,PASS,RESOLVED,REVIEW,여러 후보 또는 비영(0) index 선택,2672
5719,서울동,서울특별시 강남구 압구정로 343 갤러리아백화점 명품관 WEST 고메이494 지하1층,음식점>일식>일식당,압구정동 서울동,5,QWEN,0,서울동일식당,HIGH,1813928080,서울동일식당,서울 강남구 압구정로 343 갤러리아백화점 명품관 WEST 고메이494 지하1층,일식당,PASS,RESOLVED,REVIEW,여러 후보 또는 비영(0) index 선택,2965
4295,전라도밥집 순천댁,서울특별시 강남구 도곡로1길 14 삼일프라자 1층,음식점>한식,강남구 전라도밥집 순천댁,1,QWEN,0,전라도밥집 순천댁한식,HIGH,,,,,FAIL,NOT_FOUND,REVIEW,PLACE_ID_NOT_IN_CANDIDATE_DOM,1490
4333,문,서울특별시 강남구 밤고개로23길 10-5,"음식점>카페,디저트",수서역 문,5,QWEN,3,"문카페,디저트",HIGH,1773108313,"문카페,디저트",서울 강남구 밤고개로23길 10-5,,PASS,RESOLVED,REVIEW,여러 후보 또는 비영(0) index 선택,2658
4284,카페알케미,서울특별시 강남구 양재대로53길 7 1층,"음식점>카페,디저트",대청역 카페알케미,1,QWEN,0,"카페알케미카페,디저트",HIGH,136397665,"카페알케미카페,디저트",서울 강남구 양재대로53길 7 1층,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2329
4361,강남햅쌀만꼬마김밥,서울특별시 강남구 밤고개로 231 강남훼미리타운A동 104호 강남햅쌀만꼬마김밥,분식>종합분식,수서역 강남햅쌀만꼬마김밥,1,QWEN,0,강남햅쌀만꼬마김밥종합분식,HIGH,1170046203,강남햅쌀만꼬마김밥종합분식,서울 강남구 밤고개로 231 강남훼미리타운A동 104호 강남햅쌀만꼬마김밥,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2364
4276,광부,서울특별시 강남구 도산대로56길 17,한식>소고기구이,강남구 광부,2,QWEN,0,광부소고기구이,HIGH,13098230,광부소고기구이,7수인분당강남구청역 3-1번 출구에서 592m,,FAIL,NOT_FOUND,REVIEW,ADDRESS_MISMATCH,1968
4301,캠토토스트 국악고점,서울특별시 강남구 개포로22길 47 101호,분식>토스트,매봉역 캠토토스트국악고점,1,QWEN,0,캠토토스트 국악고점토스트,HIGH,1782675433,캠토토스트 국악고점토스트,서울 강남구 개포로22길 47 101호,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2504
4327,청평숯불갈비,서울특별시 강남구 봉은사로1길 16,"한식>육류,고기요리",신논현역 청평숯불갈비,1,QWEN,0,"청평숯불갈비육류,고기요리",HIGH,11672555,"청평숯불갈비육류,고기요리",서울 강남구 봉은사로1길 16,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2343
4285,연화산,서울특별시 강남구 테헤란로92길 11,중식>중식당,삼성역 연화산,1,QWEN,0,연화산중식당,HIGH,1608800144,연화산중식당,서울 강남구 테헤란로92길 11,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2767
4288,사리원 도곡점,서울특별시 강남구 남부순환로 2712,"한식>육류,고기요리",매봉역 사리원,1,QWEN,0,"사리원 도곡점육류,고기요리",HIGH,11710938,"사리원 도곡점육류,고기요리",서울 강남구 남부순환로 2712,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2218
4294,야키니쿠 규,서울특별시 강남구 테헤란로81길 60-5 1층,한식>소고기구이,삼성중앙역 야키니쿠규,1,QWEN,0,야키니쿠 규,HIGH,1697940428,야키니쿠 규,서울 강남구 테헤란로81길 60-5 1층,,PASS,RESOLVED,SAFE,상세 이름/주소 evidence 확인,2211
4616,미가 부대찌개,서울특별시 강남구 밤고개로36길 6 미가부대찌개,"한식>찌개,전골",세곡동 미가,2,QWEN,0,"미가 부대찌개찌개,전골",LOW,1134244869,"미가 부대찌개찌개,전골",서울 강남구 밤고개로36길 6 미가부대찌개,,PASS,RESOLVED,REVIEW,여러 후보 또는 비영(0) index 선택,2098
